สถิติจำนวนประชากรและบ้าน,,,,,,,,,,
พื้นที่ ทั่วประเทศ,,,,,,,,,,
ข้อมูล ปี 2565,,,,,,,,,,
พื้นที่,ชาย (ไทย),หญิง (ไทย),รวม (ไทย),ชาย (ไม่ใช่ไทย),หญิง (ไม่ใช่ไทย),รวม (ไม่ใช่ไทย),ชาย (รวม),หญิง (รวม),รวม (รวม),บ้าน (หลัง)
จังหวัดนครนายก,"128,014","130,966","258,980",776,650,"1,426","128,790","131,616","260,406","106,639"
จังหวัดสระแก้ว,"279,191","278,983","558,174","2,061","2,581","4,642","281,252","281,564","562,816","226,312"
จังหวัดนครราชสีมา,"1,287,281","1,337,858","2,625,139","2,972","1,947","4,919","1,290,253","1,339,805","2,630,058","1,044,524"
จังหวัดบุรีรัมย์,"779,924","794,780","1,574,704","1,606",605,"2,211","781,530","795,385","1,576,915","490,644"
จังหวัดสุรินทร์,"681,292","690,039","1,371,331","1,079",500,"1,579","682,371","690,539","1,372,910","415,987"
จังหวัดศรีสะเกษ,"722,951","730,409","1,453,360",804,566,"1,370","723,755","730,975","1,454,730","410,815"
จังหวัดอุบลราชธานี,"928,432","932,411","1,860,843","3,688","5,275","8,963","932,120","937,686","1,869,806","642,015"
จังหวัดยโสธร,"264,545","266,693","531,238",211,150,361,"264,756","266,843","531,599","183,618"
จังหวัดชัยภูมิ,"550,531","566,162","1,116,693",876,356,"1,232","551,407","566,518","1,117,925","413,107"
จังหวัดอำนาจเจริญ,"186,252","188,365","374,617",342,423,765,"186,594","188,788","375,382","125,118"
จังหวัดบึงกาฬ,"210,710","210,160","420,870",448,366,814,"211,158","210,526","421,684","143,368"
จังหวัดหนองบัวลำภู,"252,810","254,832","507,642",532,151,683,"253,342","254,983","508,325","157,566"
จังหวัดขอนแก่น,"873,329","907,537","1,780,866","2,753","1,022","3,775","876,082","908,559","1,784,641","668,539"
จังหวัดอุดรธานี,"767,353","788,112","1,555,465","4,991","2,592","7,583","772,344","790,704","1,563,048","548,525"
จังหวัดเลย,"317,484","315,807","633,291","1,615","2,435","4,050","319,099","318,242","637,341","234,063"
จังหวัดหนองคาย,"253,096","257,866","510,962","2,297","2,536","4,833","255,393","260,402","515,795","184,909"
จังหวัดมหาสารคาม,"462,361","481,450","943,811",535,259,794,"462,896","481,709","944,605","313,596"
จังหวัดร้อยเอ็ด,"638,169","651,730","1,289,899",840,392,"1,232","639,009","652,122","1,291,131","407,315"
จังหวัดกาฬสินธุ์,"479,170","491,971","971,141",704,256,960,"479,874","492,227","972,101","322,190"
จังหวัดสกลนคร,"567,867","576,189","1,144,056",686,445,"1,131","568,553","576,634","1,145,187","402,016"
จังหวัดนครพนม,"356,016","358,927","714,943",818,886,"1,704","356,834","359,813","716,647","239,861"
จังหวัดมุกดาหาร,"174,082","174,468","348,550","1,460","1,578","3,038","175,542","176,046","351,588","122,358"
จังหวัดเชียงใหม่,"781,734","849,173","1,630,907","82,605","78,962","161,567","864,339","928,135","1,792,474","866,675"
จังหวัดลำพูน,"189,970","206,499","396,469","1,626","1,462","3,088","191,596","207,961","399,557","188,061"
จังหวัดลำปาง,"348,116","367,858","715,974","1,458","1,358","2,816","349,574","369,216","718,790","302,165"
จังหวัดอุตรดิตถ์,"215,184","226,635","441,819",464,666,"1,130","215,648","227,301","442,949","175,738"
จังหวัดแพร่,"206,804","223,205","430,009",370,290,660,"207,174","223,495","430,669","182,675"
จังหวัดน่าน,"236,152","236,595","472,747",789,"1,003","1,792","236,941","237,598","474,539","175,817"
จังหวัดพะเยา,"222,886","236,073","458,959","1,177","1,295","2,472","224,063","237,368","461,431","199,936"
จังหวัดเชียงราย,"569,087","598,034","1,167,121","61,532","70,983","132,515","630,619","669,017","1,299,636","579,417"
จังหวัดแม่ฮ่องสอน,"122,383","119,672","242,055","22,811","21,920","44,731","145,194","141,592","286,786","119,841"
จังหวัดนครสวรรค์,"500,068","526,772","1,026,840","1,167",807,"1,974","501,235","527,579","1,028,814","429,988"
จังหวัดอุทัยธานี,"157,891","165,494","323,385",248,227,475,"158,139","165,721","323,860","129,514"
จังหวัดกำแพงเพชร,"348,831","358,342","707,173",865,737,"1,602","349,696","359,079","708,775","285,190"
จังหวัดตาก,"273,615","273,115","546,730","72,117","65,293","137,410","345,732","338,408","684,140","233,293"
จังหวัดสุโขทัย,"280,985","299,924","580,909",428,315,743,"281,413","300,239","581,652","224,948"
จังหวัดพิษณุโลก,"411,684","431,053","842,737","1,058",699,"1,757","412,742","431,752","844,494","363,476"
จังหวัดพิจิตร,"255,997","269,330","525,327",344,273,617,"256,341","269,603","525,944","202,835"
จังหวัดเพชรบูรณ์,"477,881","493,502","971,383","1,253",750,"2,003","479,134","494,252","973,386","373,933"
จังหวัดราชบุรี,"406,056","433,053","839,109","14,266","12,432","26,698","420,322","445,485","865,807","338,676"
จังหวัดกาญจนบุรี,"407,047","409,756","816,803","41,062","36,418","77,480","448,109","446,174","894,283","359,348"
จังหวัดสุพรรณบุรี,"398,969","429,150","828,119","1,397","1,179","2,576","400,366","430,329","830,695","315,286"
จังหวัดนครปฐม,"436,329","474,001","910,330","6,021","5,531","11,552","442,350","479,532","921,882","426,205"
จังหวัดสมุทรสาคร,"266,456","290,404","556,860","17,018","15,550","32,568","283,474","305,954","589,428","309,823"
จังหวัดสมุทรสงคราม,"89,491","98,210","187,701",890,862,"1,752","90,381","99,072","189,453","75,048"
จังหวัดเพชรบุรี,"230,059","248,594","478,653","2,542","1,755","4,297","232,601","250,349","482,950","229,092"
จังหวัดประจวบคีรีขันธ์,"265,708","274,814","540,522","7,817","4,959","12,776","273,525","279,773","553,298","282,967"
จังหวัดนครศรีธรรมราช,"761,025","781,133","1,542,158","1,622","1,367","2,989","762,647","782,500","1,545,147","599,937"
จังหวัดกระบี่,"237,184","240,608","477,792","1,271",994,"2,265","238,455","241,602","480,057","201,080"
จังหวัดพังงา,"131,303","132,086","263,389","2,156","1,897","4,053","133,459","133,983","267,442","122,210"
จังหวัดภูเก็ต,"190,845","216,141","406,986","6,256","4,649","10,905","197,101","220,790","417,891","281,204"
จังหวัดสุราษฎร์ธานี,"522,631","542,326","1,064,957","4,924","3,782","8,706","527,555","546,108","1,073,663","530,712"
จังหวัดระนอง,"90,143","89,457","179,600","7,660","6,966","14,626","97,803","96,423","194,226","95,752"
จังหวัดชุมพร,"249,083","256,264","505,347","2,143","1,895","4,038","251,226","258,159","509,385","248,311"
จังหวัดสงขลา,"691,127","730,191","1,421,318","5,355","4,390","9,745","696,482","734,581","1,431,063","572,645"
จังหวัดสตูล,"161,576","163,187","324,763",302,238,540,"161,878","163,425","325,303","109,030"
จังหวัดตรัง,"311,101","325,712","636,813",748,645,"1,393","311,849","326,357","638,206","241,159"
จังหวัดพัทลุง,"253,616","267,662","521,278",201,140,341,"253,817","267,802","521,619","202,367"
จังหวัดปัตตานี,"361,452","369,956","731,408",811,736,"1,547","362,263","370,692","732,955","201,433"
จังหวัดยะลา,"270,723","273,650","544,373",757,783,"1,540","271,480","274,433","545,913","175,981"
จังหวัดนราธิวาส,"402,020","410,905","812,925",645,551,"1,196","402,665","411,456","814,121","226,505"
ยอดรวมทั้งหมด,"31,755,032","33,351,449","65,106,481","515,583","468,411","983,994","32,270,615","33,819,860","66,090,475","28,188,470"
