สถิติจำนวนประชากรและบ้าน,,,,,,,,,,
พื้นที่ ทั่วประเทศ,,,,,,,,,,
ข้อมูล ปี 2565,,,,,,,,,,
พื้นที่,ชาย (ไทย),หญิง (ไทย),รวม (ไทย),ชาย (ไม่ใช่ไทย),หญิง (ไม่ใช่ไทย),รวม (ไม่ใช่ไทย),ชาย (รวม),หญิง (รวม),รวม (รวม),บ้าน (หลัง)
กรุงเทพมหานคร,"2,516,900","2,878,010","5,394,910","55,074","44,948","100,022","2,571,974","2,922,958","5,494,932","3,197,865"
จังหวัดสมุทรปราการ,"637,085","704,769","1,341,854","9,713","8,660","18,373","646,798","713,429","1,360,227","750,422"
จังหวัดนนทบุรี,"596,092","689,545","1,285,637","5,590","4,689","10,279","601,682","694,234","1,295,916","739,849"
จังหวัดปทุมธานี,"563,348","628,038","1,191,386","5,529","4,617","10,146","568,877","632,655","1,201,532","677,046"
จังหวัดพระนครศรีอยุธยา,"392,534","425,721","818,255","1,151","1,011","2,162","393,685","426,732","820,417","349,313"
จังหวัดอ่างทอง,"130,131","142,035","272,166",206,215,421,"130,337","142,250","272,587","102,932"
จังหวัดลพบุรี,"365,486","368,371","733,857",808,628,"1,436","366,294","368,999","735,293","299,270"
จังหวัดสิงห์บุรี,"96,188","106,313","202,501",157,139,296,"96,345","106,452","202,797","80,341"
จังหวัดชัยนาท,"152,615","165,333","317,948",185,175,360,"152,800","165,508","318,308","129,825"
จังหวัดสระบุรี,"312,078","324,367","636,445","1,135","1,002","2,137","313,213","325,369","638,582","294,429"
จังหวัดชลบุรี,"763,694","808,463","1,572,157","13,526","9,075","22,601","777,220","817,538","1,594,758","1,118,807"
จังหวัดระยอง,"368,406","383,278","751,684","4,457","3,245","7,702","372,863","386,523","759,386","541,063"
จังหวัดจันทบุรี,"259,748","272,276","532,024","2,126","1,994","4,120","261,874","274,270","536,144","252,725"
จังหวัดตราด,"107,760","110,309","218,069","4,908","4,831","9,739","112,668","115,140","227,808","111,480"
จังหวัดฉะเชิงเทรา,"353,659","368,961","722,620","2,100","1,967","4,067","355,759","370,928","726,687","329,606"
จังหวัดปราจีนบุรี,"245,236","251,409","496,645",648,485,"1,133","245,884","251,894","497,778","232,139"
