สถิติจำนวนประชากรและบ้าน,,,,,,,,,,
พื้นที่ ทั่วประเทศ,,,,,,,,,,
ข้อมูล ปี 2563,,,,,,,,,,
พื้นที่,ชาย (ไทย),หญิง (ไทย),รวม (ไทย),ชาย (ไม่ใช่ไทย),หญิง (ไม่ใช่ไทย),รวม (ไม่ใช่ไทย),ชาย (รวม),หญิง (รวม),รวม (รวม),บ้าน (หลัง)
กรุงเทพมหานคร,"2,570,872","2,917,004","5,487,876","55,066","45,280","100,346","2,625,938","2,962,284","5,588,222","3,103,483"
จังหวัดสมุทรปราการ,"634,583","698,100","1,332,683","9,933","8,863","18,796","644,516","706,963","1,351,479","711,804"
จังหวัดนนทบุรี,"588,874","677,856","1,266,730","5,434","4,581","10,015","594,308","682,437","1,276,745","718,799"
จังหวัดปทุมธานี,"552,618","614,361","1,166,979","5,134","4,299","9,433","557,752","618,660","1,176,412","642,474"
จังหวัดพระนครศรีอยุธยา,"392,431","424,550","816,981","1,120",987,"2,107","393,551","425,537","819,088","336,357"
จังหวัดอ่างทอง,"132,190","143,987","276,177",203,204,407,"132,393","144,191","276,584","101,291"
จังหวัดลพบุรี,"370,368","371,154","741,522",789,617,"1,406","371,157","371,771","742,928","299,338"
จังหวัดสิงห์บุรี,"97,734","107,868","205,602",163,133,296,"97,897","108,001","205,898","78,410"
จังหวัดชัยนาท,"154,831","167,302","322,133",182,162,344,"155,013","167,464","322,477","126,673"
จังหวัดสระบุรี,"313,125","324,281","637,406","3,380","3,042","6,422","316,505","327,323","643,828","283,069"
จังหวัดชลบุรี,"751,295","794,192","1,545,487","12,688","8,710","21,398","763,983","802,902","1,566,885","1,070,209"
จังหวัดระยอง,"359,926","374,169","734,095","4,274","3,155","7,429","364,200","377,324","741,524","506,761"
จังหวัดจันทบุรี,"260,195","271,810","532,005","1,832","1,722","3,554","262,027","273,532","535,559","243,727"
จังหวัดตราด,"108,360","110,647","219,007","4,771","4,758","9,529","113,131","115,405","228,536","108,270"
จังหวัดฉะเชิงเทรา,"351,375","365,376","716,751","2,067","1,900","3,967","353,442","367,276","720,718","313,586"
จังหวัดปราจีนบุรี,"243,474","249,244","492,718",544,408,952,"244,018","249,652","493,670","220,064"
จังหวัดนครนายก,"127,883","130,815","258,698",744,639,"1,383","128,627","131,454","260,081","101,547"
จังหวัดสระแก้ว,"278,266","278,637","556,903","1,751","2,271","4,022","280,017","280,908","560,925","217,621"
จังหวัดนครราชสีมา,"1,291,880","1,336,722","2,628,602","2,742","1,863","4,605","1,294,622","1,338,585","2,633,207","1,004,213"
จังหวัดบุรีรัมย์,"783,800","795,394","1,579,194","1,422",568,"1,990","785,222","795,962","1,581,184","476,118"
จังหวัดสุรินทร์,"684,821","691,955","1,376,776",979,466,"1,445","685,800","692,421","1,378,221","403,890"
จังหวัดศรีสะเกษ,"725,606","731,759","1,457,365",700,515,"1,215","726,306","732,274","1,458,580","399,090"
จังหวัดอุบลราชธานี,"928,979","929,670","1,858,649","3,421","4,627","8,048","932,400","934,297","1,866,697","616,810"
จังหวัดยโสธร,"266,813","267,344","534,157",203,140,343,"267,016","267,484","534,500","175,666"
จังหวัดชัยภูมิ,"555,246","568,557","1,123,803",799,322,"1,121","556,045","568,879","1,124,924","400,583"
จังหวัดอำนาจเจริญ,"186,966","188,451","375,417",343,435,778,"187,309","188,886","376,195","120,188"
จังหวัดบึงกาฬ,"211,267","210,012","421,279",406,357,763,"211,673","210,369","422,042","137,871"
จังหวัดหนองบัวลำภู,"253,796","255,102","508,898",435,137,572,"254,231","255,239","509,470","152,361"
จังหวัดขอนแก่น,"879,932","911,103","1,791,035","2,530",966,"3,496","882,462","912,069","1,794,531","640,781"
จังหวัดอุดรธานี,"772,309","788,312","1,560,621","4,798","2,564","7,362","777,107","790,876","1,567,983","528,347"
จังหวัดเลย,"318,567","316,133","634,700","1,598","2,438","4,036","320,165","318,571","638,736","226,892"
จังหวัดหนองคาย,"254,578","258,059","512,637","2,245","2,553","4,798","256,823","260,612","517,435","178,748"
จังหวัดมหาสารคาม,"467,007","485,932","952,939",490,231,721,"467,497","486,163","953,660","304,433"
จังหวัดร้อยเอ็ด,"643,426","654,051","1,297,477",792,371,"1,163","644,218","654,422","1,298,640","394,597"
จังหวัดกาฬสินธุ์,"482,805","493,486","976,291",642,242,884,"483,447","493,728","977,175","311,145"
จังหวัดสกลนคร,"569,662","576,225","1,145,887",623,426,"1,049","570,285","576,651","1,146,936","387,699"
จังหวัดนครพนม,"356,830","358,736","715,566",764,871,"1,635","357,594","359,607","717,201","231,315"
จังหวัดมุกดาหาร,"173,968","174,079","348,047","1,399","1,465","2,864","175,367","175,544","350,911","117,741"
จังหวัดเชียงใหม่,"782,831","844,788","1,627,619","80,043","76,708","156,751","862,874","921,496","1,784,370","835,977"
จังหวัดลำพูน,"191,849","207,268","399,117","1,532","1,362","2,894","193,381","208,630","402,011","182,323"
จังหวัดลำปาง,"353,870","372,415","726,285","1,388","1,291","2,679","355,258","373,706","728,964","295,396"
จังหวัดอุตรดิตถ์,"218,544","229,117","447,661",444,640,"1,084","218,988","229,757","448,745","172,565"
จังหวัดแพร่,"210,624","226,107","436,731",349,270,619,"210,973","226,377","437,350","179,040"
จังหวัดน่าน,"237,959","236,993","474,952",779,996,"1,775","238,738","237,989","476,727","170,708"
จังหวัดพะเยา,"226,519","238,403","464,922","1,167","1,267","2,434","227,686","239,670","467,356","195,004"
จังหวัดเชียงราย,"571,277","597,425","1,168,702","58,683","67,641","126,324","629,960","665,066","1,295,026","558,825"
จังหวัดแม่ฮ่องสอน,"122,013","118,758","240,771","22,298","21,480","43,778","144,311","140,238","284,549","115,163"
จังหวัดนครสวรรค์,"506,226","532,117","1,038,343","1,153",812,"1,965","507,379","532,929","1,040,308","420,803"
จังหวัดอุทัยธานี,"159,091","166,305","325,396",231,241,472,"159,322","166,546","325,868","125,666"
จังหวัดกำแพงเพชร,"351,885","360,702","712,587",826,705,"1,531","352,711","361,407","714,118","278,306"
จังหวัดตาก,"272,124","270,868","542,992","66,827","60,446","127,273","338,951","331,314","670,265","224,890"
จังหวัดสุโขทัย,"284,560","302,631","587,191",389,303,692,"284,949","302,934","587,883","220,160"
จังหวัดพิษณุโลก,"415,258","432,616","847,874",976,631,"1,607","416,234","433,247","849,481","352,300"
จังหวัดพิจิตร,"259,304","272,386","531,690",347,273,620,"259,651","272,659","532,310","198,230"
จังหวัดเพชรบูรณ์,"483,689","496,318","980,007","1,197",736,"1,933","484,886","497,054","981,940","364,119"
จังหวัดราชบุรี,"408,797","434,221","843,018","14,034","12,261","26,295","422,831","446,482","869,313","325,837"
จังหวัดกาญจนบุรี,"407,119","407,738","814,857","40,864","36,255","77,119","447,983","443,993","891,976","348,371"
จังหวัดสุพรรณบุรี,"403,288","432,822","836,110","1,370","1,148","2,518","404,658","433,970","838,628","306,999"
จังหวัดนครปฐม,"436,529","473,982","910,511","5,355","4,863","10,218","441,884","478,845","920,729","411,586"
จังหวัดสมุทรสาคร,"264,447","286,787","551,234","18,276","16,689","34,965","282,723","303,476","586,199","296,825"
จังหวัดสมุทรสงคราม,"90,927","99,355","190,282",898,872,"1,770","91,825","100,227","192,052","72,732"
จังหวัดเพชรบุรี,"230,496","247,576","478,072","2,419","1,702","4,121","232,915","249,278","482,193","220,362"
จังหวัดประจวบคีรีขันธ์,"265,430","272,924","538,354","7,419","4,905","12,324","272,849","277,829","550,678","271,890"
จังหวัดนครศรีธรรมราช,"763,803","784,002","1,547,805","1,567","1,349","2,916","765,370","785,351","1,550,721","581,948"
จังหวัดกระบี่,"236,039","239,571","475,610","1,203",957,"2,160","237,242","240,528","477,770","193,701"
จังหวัดพังงา,"131,568","132,559","264,127","2,175","1,927","4,102","133,743","134,486","268,229","118,609"
จังหวัดภูเก็ต,"189,467","213,639","403,106","6,328","5,037","11,365","195,795","218,676","414,471","272,917"
จังหวัดสุราษฎร์ธานี,"521,472","538,575","1,060,047","4,244","3,435","7,679","525,716","542,010","1,067,726","512,366"
จังหวัดระนอง,"90,230","88,926","179,156","7,924","7,292","15,216","98,154","96,218","194,372","92,739"
จังหวัดชุมพร,"249,205","255,892","505,097","2,165","1,946","4,111","251,370","257,838","509,208","240,248"
จังหวัดสงขลา,"690,864","727,701","1,418,565","5,485","4,559","10,044","696,349","732,260","1,428,609","553,597"
จังหวัดสตูล,"161,015","162,569","323,584",288,226,514,"161,303","162,795","324,098","105,903"
จังหวัดตรัง,"312,612","326,559","639,171",756,647,"1,403","313,368","327,206","640,574","234,863"
จังหวัดพัทลุง,"254,710","268,034","522,744",198,135,333,"254,908","268,169","523,077","197,086"
จังหวัดปัตตานี,"357,786","366,631","724,417",825,773,"1,598","358,611","367,404","726,015","195,224"
จังหวัดยะลา,"267,174","269,934","537,108",745,749,"1,494","267,919","270,683","538,602","170,091"
จังหวัดนราธิวาส,"397,049","406,163","803,212",651,566,"1,217","397,700","406,729","804,429","219,403"
ยอดรวมทั้งหมด,"31,874,308","33,353,812","65,228,120","501,224","457,383","958,607","32,375,532","33,811,195","66,186,727","27,224,743"
