สถิติจำนวนประชากรและบ้าน,,,,,,,,,,
พื้นที่ ทั่วประเทศ,,,,,,,,,,
ข้อมูล ปี 2567,,,,,,,,,,
พื้นที่,ชาย (ไทย),หญิง (ไทย),รวม (ไทย),ชาย (ไม่ใช่ไทย),หญิง (ไม่ใช่ไทย),รวม (ไม่ใช่ไทย),ชาย (รวม),หญิง (รวม),รวม (รวม),บ้าน (หลัง)
กรุงเทพมหานคร,"2,487,791","2,865,040","5,352,831","56,609","45,580","102,189","2,544,400","2,910,620","5,455,020","3,304,462"
จังหวัดสมุทรปราการ,"645,682","719,358","1,365,040","8,375","7,411","15,786","654,057","726,769","1,380,826","783,230"
จังหวัดนนทบุรี,"604,365","703,621","1,307,986","5,357","4,576","9,933","609,722","708,197","1,317,919","768,221"
จังหวัดปทุมธานี,"578,320","647,271","1,225,591","5,850","5,030","10,880","584,170","652,301","1,236,471","716,096"
จังหวัดพระนครศรีอยุธยา,"393,124","427,370","820,494","1,207","1,019","2,226","394,331","428,389","822,720","362,285"
จังหวัดอ่างทอง,"128,228","140,212","268,440",217,218,435,"128,445","140,430","268,875","105,354"
จังหวัดลพบุรี,"359,237","364,603","723,840",803,623,"1,426","360,040","365,226","725,266","306,787"
จังหวัดสิงห์บุรี,"94,731","104,765","199,496",164,143,307,"94,895","104,908","199,803","81,992"
จังหวัดชัยนาท,"150,293","163,099","313,392",202,165,367,"150,495","163,264","313,759","132,908"
จังหวัดสระบุรี,"312,132","324,903","637,035","1,130","1,000","2,130","313,262","325,903","639,165","305,526"
จังหวัดชลบุรี,"780,569","831,522","1,612,091","14,214","9,220","23,434","794,783","840,742","1,635,525","1,172,425"
จังหวัดระยอง,"378,392","395,901","774,293","4,587","3,291","7,878","382,979","399,192","782,171","578,414"
จังหวัดจันทบุรี,"259,033","272,503","531,536","2,522","2,330","4,852","261,555","274,833","536,388","261,649"
จังหวัดตราด,"107,145","109,965","217,110","4,748","4,659","9,407","111,893","114,624","226,517","114,393"
จังหวัดฉะเชิงเทรา,"356,513","372,705","729,218","2,043","1,870","3,913","358,556","374,575","733,131","345,381"
จังหวัดปราจีนบุรี,"246,077","253,239","499,316",758,533,"1,291","246,835","253,772","500,607","242,594"
จังหวัดนครนายก,"127,600","130,813","258,413",749,608,"1,357","128,349","131,421","259,770","111,246"
จังหวัดสระแก้ว,"278,271","278,777","557,048","2,370","2,824","5,194","280,641","281,601","562,242","233,852"
จังหวัดนครราชสีมา,"1,279,609","1,335,430","2,615,039","3,154","1,979","5,133","1,282,763","1,337,409","2,620,172","1,079,582"
จังหวัดบุรีรัมย์,"773,406","790,439","1,563,845","1,824",639,"2,463","775,230","791,078","1,566,308","504,266"
จังหวัดสุรินทร์,"674,067","684,435","1,358,502","1,201",542,"1,743","675,268","684,977","1,360,245","426,326"
จังหวัดศรีสะเกษ,"716,184","724,332","1,440,516",895,602,"1,497","717,079","724,934","1,442,013","420,976"
จังหวัดอุบลราชธานี,"925,928","932,792","1,858,720","3,844","5,378","9,222","929,772","938,170","1,867,942","661,003"
จังหวัดยโสธร,"260,958","263,953","524,911",246,168,414,"261,204","264,121","525,325","189,342"
จังหวัดชัยภูมิ,"543,962","561,046","1,105,008",992,404,"1,396","544,954","561,450","1,106,404","424,219"
จังหวัดอำนาจเจริญ,"184,419","186,978","371,397",364,422,786,"184,783","187,400","372,183","128,559"
จังหวัดบึงกาฬ,"208,971","208,873","417,844",488,401,889,"209,459","209,274","418,733","147,459"
จังหวัดหนองบัวลำภู,"250,272","253,344","503,616",590,173,763,"250,862","253,517","504,379","161,989"
จังหวัดขอนแก่น,"865,322","903,044","1,768,366","2,977","1,038","4,015","868,299","904,082","1,772,381","692,088"
จังหวัดอุดรธานี,"759,970","783,780","1,543,750","5,505","2,880","8,385","765,475","786,660","1,552,135","565,876"
จังหวัดเลย,"314,252","313,885","628,137","1,619","2,431","4,050","315,871","316,316","632,187","240,382"
จังหวัดหนองคาย,"250,780","255,909","506,689","2,414","2,603","5,017","253,194","258,512","511,706","190,025"
จังหวัดมหาสารคาม,"455,640","473,416","929,056",606,290,896,"456,246","473,706","929,952","321,366"
จังหวัดร้อยเอ็ด,"628,860","645,268","1,274,128",965,426,"1,391","629,825","645,694","1,275,519","417,865"
จังหวัดกาฬสินธุ์,"473,743","487,626","961,369",790,285,"1,075","474,533","487,911","962,444","331,891"
จังหวัดสกลนคร,"563,370","573,096","1,136,466",835,471,"1,306","564,205","573,567","1,137,772","411,116"
จังหวัดนครพนม,"352,641","356,312","708,953",890,897,"1,787","353,531","357,209","710,740","246,183"
จังหวัดมุกดาหาร,"173,361","173,727","347,088","1,616","1,806","3,422","174,977","175,533","350,510","126,326"
จังหวัดเชียงใหม่,"782,033","853,950","1,635,983","83,453","79,583","163,036","865,486","933,533","1,799,019","900,484"
จังหวัดลำพูน,"187,960","205,608","393,568","1,687","1,498","3,185","189,647","207,106","396,753","193,492"
จังหวัดลำปาง,"340,181","361,064","701,245","1,482","1,399","2,881","341,663","362,463","704,126","307,969"
จังหวัดอุตรดิตถ์,"211,519","223,602","435,121",486,676,"1,162","212,005","224,278","436,283","179,308"
จังหวัดแพร่,"201,974","219,064","421,038",404,303,707,"202,378","219,367","421,745","185,874"
จังหวัดน่าน,"233,838","234,832","468,670",809,"1,028","1,837","234,647","235,860","470,507","180,461"
จังหวัดพะเยา,"219,082","232,972","452,054","1,296","1,414","2,710","220,378","234,386","454,764","204,387"
จังหวัดเชียงราย,"565,621","596,383","1,162,004","63,190","72,463","135,653","628,811","668,846","1,297,657","594,808"
จังหวัดแม่ฮ่องสอน,"122,370","120,036","242,406","23,353","22,323","45,676","145,723","142,359","288,082","123,826"
จังหวัดนครสวรรค์,"492,078","520,301","1,012,379","1,203",819,"2,022","493,281","521,120","1,014,401","437,370"
จังหวัดอุทัยธานี,"156,049","163,891","319,940",262,243,505,"156,311","164,134","320,445","132,050"
จังหวัดกำแพงเพชร,"344,303","354,973","699,276",863,723,"1,586","345,166","355,696","700,862","291,549"
จังหวัดตาก,"274,966","274,922","549,888","77,967","70,742","148,709","352,933","345,664","698,597","241,517"
จังหวัดสุโขทัย,"276,686","295,889","572,575",493,320,813,"277,179","296,209","573,388","229,235"
จังหวัดพิษณุโลก,"408,460","428,784","837,244","1,136",736,"1,872","409,596","429,520","839,116","372,740"
จังหวัดพิจิตร,"251,416","265,237","516,653",371,284,655,"251,787","265,521","517,308","206,966"
จังหวัดเพชรบูรณ์,"470,751","487,889","958,640","1,316",762,"2,078","472,067","488,651","960,718","382,224"
จังหวัดราชบุรี,"404,458","432,446","836,904","14,489","12,644","27,133","418,947","445,090","864,037","350,718"
จังหวัดกาญจนบุรี,"405,218","410,914","816,132","42,435","37,784","80,219","447,653","448,698","896,351","370,344"
จังหวัดสุพรรณบุรี,"394,308","425,196","819,504","1,461","1,246","2,707","395,769","426,442","822,211","324,002"
จังหวัดนครปฐม,"437,586","476,961","914,547","5,809","5,402","11,211","443,395","482,363","925,758","442,482"
จังหวัดสมุทรสาคร,"270,891","295,993","566,884","12,569","11,414","23,983","283,460","307,407","590,867","323,332"
จังหวัดสมุทรสงคราม,"88,282","97,013","185,295",758,731,"1,489","89,040","97,744","186,784","77,393"
จังหวัดเพชรบุรี,"230,215","249,404","479,619","2,715","1,811","4,526","232,930","251,215","484,145","237,512"
จังหวัดประจวบคีรีขันธ์,"261,787","276,604","538,391","8,428","4,950","13,378","270,215","281,554","551,769","293,330"
จังหวัดนครศรีธรรมราช,"755,909","775,818","1,531,727","1,630","1,296","2,926","757,539","777,114","1,534,653","616,268"
จังหวัดกระบี่,"239,078","242,609","481,687","1,235",933,"2,168","240,313","243,542","483,855","208,232"
จังหวัดพังงา,"131,075","131,780","262,855","1,835","1,606","3,441","132,910","133,386","266,296","125,443"
จังหวัดภูเก็ต,"196,152","223,523","419,675","5,836","4,072","9,908","201,988","227,595","429,583","294,383"
จังหวัดสุราษฎร์ธานี,"523,298","543,492","1,066,790","5,779","4,097","9,876","529,077","547,589","1,076,666","550,373"
จังหวัดระนอง,"90,303","89,792","180,095","6,641","6,191","12,832","96,944","95,983","192,927","98,370"
จังหวัดชุมพร,"248,329","256,025","504,354","1,938","1,761","3,699","250,267","257,786","508,053","256,148"
จังหวัดสงขลา,"691,405","731,814","1,423,219","4,397","3,491","7,888","695,802","735,305","1,431,107","593,923"
จังหวัดสตูล,"161,395","162,995","324,390",272,217,489,"161,667","163,212","324,879","111,775"
จังหวัดตรัง,"309,336","324,313","633,649",709,601,"1,310","310,045","324,914","634,959","246,853"
จังหวัดพัทลุง,"252,260","266,843","519,103",200,137,337,"252,460","266,980","519,440","207,767"
จังหวัดปัตตานี,"365,732","373,670","739,402",800,702,"1,502","366,532","374,372","740,904","208,009"
จังหวัดยะลา,"273,900","277,458","551,358",801,815,"1,616","274,701","278,273","552,974","181,284"
จังหวัดนราธิวาส,"407,004","415,823","822,827",628,541,"1,169","407,632","416,364","823,996","232,664"
ยอดรวมทั้งหมด,"31,620,426","33,333,235","64,953,661","524,856","472,693","997,549","32,145,282","33,805,928","65,951,210","29,128,519"
