Year,Month,Province,PM2.5
2020,Feb,ราชบุรี,51.0
2020,Feb,สุพรรณบุรี,36.333333333333336
2020,Feb,ประจวบคีรีขันธ์,31.0
2020,Feb,เพชรบุรี,39.20553846153846
2020,Feb,นราธิวาส,16.0
2020,Feb,นครศรีธรรมราช,20.0
2020,Feb,ภูเก็ต,15.0
2020,Feb,ยะลา,14.0
2020,Feb,สงขลา,17.0
2020,Feb,สุราษฎร์ธานี,19.0
2020,Feb,สตูล,12.0
2020,Feb,ตรัง,13.666666666666666
2020,Feb,ชุมพร,39.20553846153846
2020,Feb,กระบี่,39.20553846153846
2020,Feb,พัทลุง,39.20553846153846
2020,Feb,ปัตตานี,39.20553846153846
2020,Feb,ระนอง,39.20553846153846
2020,Feb,พังงา,39.20553846153846
2020,Mar,กรุงเทพมหานคร,22.5
2020,Mar,นนทบุรี,21.0
2020,Mar,ปทุมธานี,23.0
2020,Mar,สมุทรปราการ,22.0
2020,Mar,สมุทรสาคร,20.5
2020,Mar,นครปฐม,22.0
2020,Mar,พระนครศรีอยุธยา,30.0
2020,Mar,สระบุรี,35.0
2020,Mar,ลพบุรี,43.5
2020,Mar,สิงห์บุรี,38.0
2020,Mar,อ่างทอง,41.57794871794872
2020,Mar,ชัยนาท,41.57794871794872
2020,Mar,สมุทรสงคราม,22.0
2020,Mar,นครสวรรค์,39.0
2020,Mar,อุทัยธานี,52.0
2020,Mar,เชียงราย,108.0
2020,Mar,เชียงใหม่,81.0
2020,Mar,น่าน,86.0
2020,Mar,พะเยา,94.0
2020,Mar,พิษณุโลก,54.25
2020,Mar,แพร่,62.0
2020,Mar,แม่ฮ่องสอน,121.5
2020,Mar,ลำปาง,59.66666666666666
2020,Mar,ลำพูน,63.0
2020,Mar,ตาก,63.0
2020,Mar,อุตรดิตถ์,53.333333333333336
2020,Mar,สุโขทัย,79.0
2020,Mar,พิจิตร,49.0
2020,Mar,เพชรบูรณ์,51.0
2020,Mar,กำแพงเพชร,58.0
2020,Mar,ขอนแก่น,45.75
2020,Mar,นครราชสีมา,43.0
2020,Mar,นครพนม,58.25
2020,Mar,เลย,48.0
2020,Mar,หนองคาย,54.0
2020,Mar,อุบลราชธานี,57.5
2020,Mar,สกลนคร,34.666666666666664
2020,Mar,อุดรธานี,41.0
2020,Mar,บุรีรัมย์,39.0
2020,Mar,มุกดาหาร,50.0
2020,Mar,บึงกาฬ,37.0
2020,Mar,กาฬสินธุ์,55.0
2020,Mar,ชัยภูมิ,36.0
2020,Mar,ยโสธร,48.0
2020,Mar,อำนาจเจริญ,41.0
2020,Mar,สุรินทร์,37.0
2020,Mar,ศรีสะเกษ,41.0
2020,Mar,ร้อยเอ็ด,41.57794871794872
2020,Mar,มหาสารคาม,41.57794871794872
2020,Mar,หนองบัวลำภู,41.57794871794872
2020,Mar,ฉะเชิงเทรา,22.0
2020,Mar,ชลบุรี,18.0
2020,Mar,ตราด,23.5
2020,Mar,ระยอง,17.666666666666668
2020,Mar,สระแก้ว,30.25
2020,Mar,ปราจีนบุรี,37.0
2020,Mar,จันทบุรี,25.5
2020,Mar,นครนายก,28.0
2020,Mar,กาญจนบุรี,41.0
2020,Mar,ราชบุรี,34.5
2020,Mar,สุพรรณบุรี,34.25
2020,Mar,ประจวบคีรีขันธ์,30.0
2020,Mar,เพชรบุรี,41.57794871794872
