Year,Month,Province,Rainfall_Final
2021,Aug,นครสวรรค์,218.3
2021,Aug,นราธิวาส,173.86666666666667
2021,Aug,น่าน,134.3
2021,Aug,บุรีรัมย์,178.03333333333333
2021,Aug,ปทุมธานี,182.6
2021,Aug,ประจวบคีรีขันธ์,136.5
2021,Aug,ปราจีนบุรี,313.8833333333334
2021,Aug,ปัตตานี,190.4
2021,Aug,พระนครศรีอยุธยา,124.0
2021,Aug,พะเยา,281.1666666666667
2021,Aug,พังงา,0.3
2021,Aug,พัทลุง,58.3
2021,Aug,พิจิตร,0.0
2021,Aug,พิษณุโลก,226.73333333333332
2021,Aug,ภูเก็ต,431.29999999999995
2021,Aug,มหาสารคาม,169.73333333333332
2021,Aug,มุกดาหาร,293.56666666666666
2021,Aug,ยะลา,204.2
2021,Aug,ระนอง,475.4666666666667
2021,Aug,ระยอง,268.6
2021,Aug,ราชบุรี,0.0
2021,Aug,ร้อยเอ็ด,111.1
2021,Aug,ลพบุรี,172.81666666666666
2021,Aug,ลำปาง,148.76666666666668
2021,Aug,ลำพูน,221.83333333333331
2021,Aug,ศรีสะเกษ,170.2
2021,Aug,สกลนคร,131.1
2021,Aug,สงขลา,85.6
2021,Aug,สตูล,275.4666666666667
2021,Aug,สระแก้ว,217.7
2021,Aug,สุพรรณบุรี,191.6
2021,Aug,สุราษฎร์ธานี,78.0
2021,Aug,สุรินทร์,166.8
2021,Aug,หนองคาย,343.6000000000001
2021,Aug,อุดรธานี,0.3666666666666667
2021,Aug,อุตรดิตถ์,234.26666666666665
2021,Aug,อุบลราชธานี,241.1
2021,Aug,เชียงราย,314.0
2021,Aug,เชียงใหม่,200.9
2021,Aug,เพชรบุรี,73.96666666666665
2021,Aug,เพชรบูรณ์,136.35555555555558
2021,Aug,เลย,183.6
2021,Aug,แพร่,189.13333333333333
2021,Aug,แม่ฮ่องสอน,221.4333333333333
2021,Dec,Chok Chai,0.3
2021,Dec,Hua Hin,0.15
2021,Dec,Kabin Buri,0.3
2021,Dec,Khlong Yai,4.45
2021,Dec,Kosum Phisai,0.0
2021,Dec,Lampang,11.2
2021,Dec,Lamphun,10.85
2021,Dec,Lom Sak,0.0
2021,Dec,Lop Buri,0.25
2021,Dec,Mae Sariang,8.75
2021,Dec,Mae Sot,0.05
2021,Dec,Mukdahan,0.0
2021,Dec,Nakhon Phanom,0.0
2021,Dec,Nakhon Ratchasima,0.1
2021,Dec,Nakhon Sawan,0.65
2021,Dec,Nang Rong,0.0
2021,Dec,Narathiwat,860.9
2021,Dec,Nong Khai,0.0
2021,Dec,Phayao,22.9
2021,Dec,Phetchabun,0.0
2021,Dec,Phetchaburi,0.85
2021,Dec,Phitsanulok,19.65
2021,Dec,Prachin Buri,0.0
2021,Dec,Ranong,173.4
2021,Dec,Rayong,0.55
2021,Dec,Roi Et,0.0
2021,Dec,Sakon Nakhon,0.0
2021,Dec,Satun,69.75
2021,Dec,Songkhla,709.5500000000001
2021,Dec,Suphan Buri,3.9
2021,Dec,Surin,0.25
2021,Dec,Tha Tum,23.9
2021,Dec,Ubon Ratchathani,0.0
2021,Dec,Uttaradit,0.0
2021,Dec,Wichian Buri,0.0
2021,Dec,กรุงเทพมหานคร,0.4
2021,Dec,กาญจนบุรี,0.55
2021,Dec,กำแพงเพชร,0.7
2021,Dec,ขอนแก่น,0.0
2021,Dec,จันทบุรี,6.0
2021,Dec,ฉะเชิงเทรา,0.1
2021,Dec,ชลบุรี,0.1
2021,Dec,ชัยนาท,0.0
2021,Dec,ชัยภูมิ,1.2
2021,Dec,ชุมพร,99.4
2021,Dec,ตรัง,0.35
2021,Dec,ตราด,4.45
2021,Dec,ตาก,0.825
2021,Dec,นครพนม,0.0
2021,Dec,นครราชสีมา,0.0
2021,Dec,นครศรีธรรมราช,473.5
2021,Dec,นครสวรรค์,0.0
2021,Dec,นราธิวาส,860.9
2021,Dec,น่าน,0.0
2021,Dec,บุรีรัมย์,0.0
2021,Dec,ปทุมธานี,0.0
2021,Dec,ประจวบคีรีขันธ์,0.0
2021,Dec,ปราจีนบุรี,0.15
2021,Dec,ปัตตานี,565.85
2021,Dec,พระนครศรีอยุธยา,0.0
2021,Dec,พะเยา,22.9
2021,Dec,พังงา,0.3
2021,Dec,พัทลุง,210.0
2021,Dec,พิจิตร,0.0
2021,Dec,พิษณุโลก,19.65
2021,Dec,ภูเก็ต,59.8
2021,Dec,มหาสารคาม,0.0
2021,Dec,มุกดาหาร,0.0
2021,Dec,ยะลา,343.8
2021,Dec,ระนอง,173.4
2021,Dec,ระยอง,15.9
2021,Dec,ราชบุรี,0.0
2021,Dec,ร้อยเอ็ด,0.0
2021,Dec,ลพบุรี,0.0625
2021,Dec,ลำปาง,11.2
2021,Dec,ลำพูน,10.85
2021,Dec,ศรีสะเกษ,4.1
2021,Dec,สกลนคร,0.0
2021,Dec,สงขลา,262.8
2021,Dec,สตูล,69.75
2021,Dec,สระแก้ว,0.65
2021,Dec,สุพรรณบุรี,3.9
2021,Dec,สุราษฎร์ธานี,64.65
2021,Dec,สุรินทร์,0.0
2021,Dec,หนองคาย,0.0
2021,Dec,อุดรธานี,0.2
2021,Dec,อุตรดิตถ์,0.0
2021,Dec,อุบลราชธานี,6.1
2021,Dec,เชียงราย,0.0
2021,Dec,เชียงใหม่,40.55
2021,Dec,เพชรบุรี,0.85
2021,Dec,เพชรบูรณ์,0.0
2021,Dec,เลย,0.0
2021,Dec,แพร่,1.2000000000000002
2021,Dec,แม่ฮ่องสอน,8.75
2021,Feb,Chok Chai,23.6
2021,Feb,Hua Hin,59.133333333333326
2021,Feb,Kabin Buri,29.3
2021,Feb,Khlong Yai,74.26666666666667
2021,Feb,Kosum Phisai,7.899999999999999
2021,Feb,Lampang,6.5
2021,Feb,Lamphun,18.1
2021,Feb,Lom Sak,11.366666666666667
2021,Feb,Lop Buri,10.533333333333331
2021,Feb,Mae Sariang,8.866666666666667
2021,Feb,Mae Sot,16.066666666666666
2021,Feb,Mukdahan,15.066666666666668
2021,Feb,Nakhon Phanom,12.166666666666666
2021,Feb,Nakhon Ratchasima,7.399999999999999
2021,Feb,Nakhon Sawan,28.566666666666663
2021,Feb,Nang Rong,25.466666666666665
2021,Feb,Narathiwat,255.63333333333333
2021,Feb,Nong Khai,51.26666666666667
2021,Feb,Phayao,28.066666666666663
2021,Feb,Phetchabun,20.566666666666663
2021,Feb,Phetchaburi,56.66666666666666
2021,Feb,Phitsanulok,38.266666666666666
2021,Feb,Prachin Buri,32.43333333333333
2021,Feb,Ranong,60.53333333333334
2021,Feb,Rayong,62.63333333333333
2021,Feb,Roi Et,2.966666666666667
2021,Feb,Sakon Nakhon,16.266666666666666
2021,Feb,Satun,42.66666666666666
2021,Feb,Songkhla,116.46666666666668
2021,Feb,Suphan Buri,5.933333333333333
2021,Feb,Surin,25.4
2021,Feb,Tha Tum,26.73333333333333
2021,Feb,Ubon Ratchathani,15.133333333333336
2021,Feb,Uttaradit,31.33333333333333
2021,Feb,Wichian Buri,9.033333333333331
2021,Feb,กรุงเทพมหานคร,66.7
2021,Feb,กาญจนบุรี,81.06666666666668
2021,Feb,กำแพงเพชร,46.53333333333333
2021,Feb,ขอนแก่น,46.5
2021,Feb,จันทบุรี,80.60000000000001
2021,Feb,ฉะเชิงเทรา,28.7
2021,Feb,ชลบุรี,21.700000000000003
2021,Feb,ชัยนาท,0.0
2021,Feb,ชัยภูมิ,10.366666666666667
2021,Feb,ชุมพร,0.8
2021,Feb,ตรัง,0.4333333333333333
2021,Feb,ตราด,74.26666666666667
2021,Feb,ตาก,18.35
2021,Feb,นครพนม,43.2
2021,Feb,นครราชสีมา,6.9
2021,Feb,นครศรีธรรมราช,2.0
2021,Feb,นครสวรรค์,0.5
2021,Feb,นราธิวาส,255.63333333333333
2021,Feb,น่าน,20.9
2021,Feb,บุรีรัมย์,25.466666666666665
2021,Feb,ปทุมธานี,0.1
2021,Feb,ประจวบคีรีขันธ์,6.6
2021,Feb,ปราจีนบุรี,30.866666666666664
2021,Feb,ปัตตานี,165.1
2021,Feb,พระนครศรีอยุธยา,3.8
2021,Feb,พะเยา,28.066666666666663
2021,Feb,พังงา,0.5333333333333333
2021,Feb,พัทลุง,7.7
2021,Feb,พิจิตร,16.5
2021,Feb,พิษณุโลก,38.266666666666666
2021,Feb,ภูเก็ต,61.95
2021,Feb,มหาสารคาม,7.899999999999999
2021,Feb,มุกดาหาร,15.066666666666668
2021,Feb,ยะลา,2.7
2021,Feb,ระนอง,60.53333333333334
2021,Feb,ระยอง,36.7
2021,Feb,ราชบุรี,12.1
2021,Feb,ร้อยเอ็ด,50.3
2021,Feb,ลพบุรี,5.133333333333333
2021,Feb,ลำปาง,6.5
2021,Feb,ลำพูน,18.1
2021,Feb,ศรีสะเกษ,1.0
2021,Feb,สกลนคร,23.8
2021,Feb,สงขลา,0.0
2021,Feb,สตูล,42.66666666666666
2021,Feb,สระแก้ว,44.43333333333333
2021,Feb,สุพรรณบุรี,18.0
2021,Feb,สุราษฎร์ธานี,0.4833333333333333
2021,Feb,สุรินทร์,22.9
2021,Feb,หนองคาย,51.26666666666667
2021,Feb,อุดรธานี,0.5
2021,Feb,อุตรดิตถ์,31.33333333333333
2021,Feb,อุบลราชธานี,2.5
2021,Feb,เชียงราย,68.2
2021,Feb,เชียงใหม่,12.633333333333333
2021,Feb,เพชรบุรี,56.66666666666666
2021,Feb,เพชรบูรณ์,13.655555555555557
2021,Feb,เลย,26.9
2021,Feb,แพร่,16.266666666666666
2021,Feb,แม่ฮ่องสอน,8.866666666666667
2021,Jan,Chok Chai,5.5
2021,Jan,Hua Hin,11.199999999999998
2021,Jan,Kabin Buri,14.166666666666666
2021,Jan,Khlong Yai,39.36666666666667
2021,Jan,Kosum Phisai,8.766666666666667
2021,Jan,Lampang,15.6
2021,Jan,Lamphun,8.766666666666667
2021,Jan,Lom Sak,5.833333333333333
2021,Jan,Lop Buri,1.4666666666666668
2021,Jan,Mae Sariang,6.533333333333334
2021,Jan,Mae Sot,14.866666666666664
2021,Jan,Mukdahan,1.7666666666666666
2021,Jan,Nakhon Phanom,9.7
2021,Jan,Nakhon Ratchasima,2.0
2021,Jan,Nakhon Sawan,17.833333333333332
2021,Jan,Nang Rong,18.33333333333333
2021,Jan,Narathiwat,233.5666666666667
2021,Jan,Nong Khai,22.466666666666665
2021,Jan,Phayao,10.233333333333333
2021,Jan,Phetchabun,6.566666666666666
2021,Jan,Phetchaburi,18.96666666666667
2021,Jan,Phitsanulok,2.333333333333333
2021,Jan,Prachin Buri,3.633333333333333
2021,Jan,Ranong,6.900000000000001
2021,Jan,Rayong,16.0
2021,Jan,Roi Et,10.666666666666666
2021,Jan,Sakon Nakhon,6.833333333333333
2021,Jan,Satun,44.53333333333333
2021,Jan,Songkhla,184.9333333333333
2021,Jan,Suphan Buri,0.8999999999999999
2021,Jan,Surin,0.6
2021,Jan,Tha Tum,24.6
2021,Jan,Ubon Ratchathani,13.466666666666669
2021,Jan,Uttaradit,9.333333333333334
2021,Jan,Wichian Buri,3.733333333333333
2021,Jan,กรุงเทพมหานคร,9.766666666666667
2021,Jan,กาญจนบุรี,1.0666666666666669
2021,Jan,กำแพงเพชร,7.899999999999999
2021,Jan,ขอนแก่น,3.966666666666667
2021,Jan,จันทบุรี,7.666666666666667
2021,Jan,ฉะเชิงเทรา,0.0
2021,Jan,ชลบุรี,0.6
2021,Jan,ชัยนาท,0.0
2021,Jan,ชัยภูมิ,8.666666666666666
2021,Jan,ชุมพร,47.23333333333333
2021,Jan,ตรัง,0.3666666666666667
2021,Jan,ตราด,39.36666666666667
2021,Jan,ตาก,3.3999999999999995
2021,Jan,นครพนม,9.7
2021,Jan,นครราชสีมา,3.75
2021,Jan,นครศรีธรรมราช,0.0
2021,Jan,นครสวรรค์,17.833333333333332
2021,Jan,นราธิวาส,233.5666666666667
2021,Jan,น่าน,9.0
2021,Jan,บุรีรัมย์,18.33333333333333
2021,Jan,ปทุมธานี,0.0
2021,Jan,ประจวบคีรีขันธ์,11.199999999999998
2021,Jan,ปราจีนบุรี,8.9
2021,Jan,ปัตตานี,142.86666666666667
2021,Jan,พระนครศรีอยุธยา,0.0
2021,Jan,พะเยา,10.233333333333333
2021,Jan,พังงา,0.7000000000000001
2021,Jan,พัทลุง,0.0
2021,Jan,พิจิตร,0.0
2021,Jan,พิษณุโลก,2.333333333333333
2021,Jan,ภูเก็ต,23.45
2021,Jan,มหาสารคาม,8.766666666666667
2021,Jan,มุกดาหาร,1.7666666666666666
2021,Jan,ยะลา,0.0
2021,Jan,ระนอง,6.900000000000001
2021,Jan,ระยอง,16.0
2021,Jan,ราชบุรี,0.0
2021,Jan,ร้อยเอ็ด,10.666666666666666
2021,Jan,ลพบุรี,16.71666666666667
2021,Jan,ลำปาง,15.6
2021,Jan,ลำพูน,8.766666666666667
2021,Jan,ศรีสะเกษ,0.0
2021,Jan,สกลนคร,6.833333333333333
2021,Jan,สงขลา,184.9333333333333
2021,Jan,สตูล,44.53333333333333
2021,Jan,สระแก้ว,5.0
2021,Jan,สุพรรณบุรี,0.8999999999999999
2021,Jan,สุราษฎร์ธานี,0.3666666666666667
2021,Jan,สุรินทร์,0.6
2021,Jan,หนองคาย,22.466666666666665
2021,Jan,อุดรธานี,0.3999999999999999
2021,Jan,อุตรดิตถ์,9.333333333333334
2021,Jan,อุบลราชธานี,13.466666666666669
2021,Jan,เชียงราย,32.6
2021,Jan,เชียงใหม่,10.366666666666667
2021,Jan,เพชรบุรี,18.96666666666667
2021,Jan,เพชรบูรณ์,5.377777777777779
2021,Jan,เลย,5.5
2021,Jan,แพร่,15.433333333333332
2021,Jan,แม่ฮ่องสอน,6.533333333333334
2021,Jul,Chok Chai,121.96666666666664
2021,Jul,Hua Hin,62.06666666666667
2021,Jul,Kabin Buri,255.36666666666667
2021,Jul,Khlong Yai,1199.1
2021,Jul,Kosum Phisai,237.13333333333333
