     ตารางที่ 5  สถิติจำนวนโรงงานอุตสาหกรรมที่ได้รับใบอนุญาตประกอบกิจการ จำพวก 3 และที่ได้ใบรับแจ้งประกอบกิจการ จำพวก 2 จำแนกเป็นรายจังหวัด ในรอบปี 2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, จำพวกที่ 2 ,,,,,, จำพวกที่ 3 ,,,,,, รวมทั้งหมด ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จังหวัด, จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร , จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร , จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) , (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) , (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กระบี่, 1 , 16.00 , 9 , 3 , 12 , 69.50 , 4 , 166.29 , 22 , 5 , 27 ," 3,179.39 ", 5 , 182.29 , 31 , 8 , 39 ," 3,248.89 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กรุงเทพมหานคร, 9 , 307.76 , 174 , 215 , 389 , 579.13 , 31 ," 11,945.06 ", 560 , 229 , 789 ," 62,992.57 ", 40 ," 12,252.81 ", 734 , 444 ," 1,178 "," 63,571.70 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กาญจนบุรี, 2 , 62.00 , 42 , 55 , 97 , 145.90 , 21 ," 9,231.90 ", 243 , 89 , 332 ," 565,875.66 ", 23 ," 9,293.90 ", 285 , 144 , 429 ," 566,021.56 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กาฬสินธุ์, 1 , 5.00 , 4 , 14 , 18 , 71.75 , 13 ," 1,491.59 ", 216 , 66 , 282 ," 48,334.55 ", 14 ," 1,496.59 ", 220 , 80 , 300 ," 48,406.30 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
กำแพงเพชร, 1 , 17.50 , 25 , 20 , 45 , 64.00 , 16 , 901.35 , 199 , 53 , 252 ," 6,547.11 ", 17 , 918.85 , 224 , 73 , 297 ," 6,611.11 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ขอนแก่น, -   , -   , -   , -   , -   , -   , 33 ," 1,412.41 ", 374 , 66 , 440 ," 19,554.14 ", 33 ," 1,412.41 ", 374 , 66 , 440 ," 19,554.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จันทบุรี, 2 , 15.00 , 6 , 5 , 11 , 110.00 , 8 , 388.48 , 149 , 123 , 272 ," 9,379.41 ", 10 , 403.48 , 155 , 128 , 283 ," 9,489.41 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ฉะเชิงเทรา, -   , -   , -   , -   , -   , -   , 71 ," 24,798.29 "," 2,569 "," 4,804 "," 7,373 "," 108,848.71 ", 71 ," 24,798.29 "," 2,569 "," 4,804 "," 7,373 "," 108,848.71 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
