สถิติโรงงานอุตสาหกรรมที่จดทะเบียนกับกระทรวงอุตสาหกรรม และได้รับอนุญาตให้ประกอบกิจการใหม่ (ตามพระราชบัญญัติโรงงาน พ.ศ. 2535) จำแนกตามภาค และจังหวัด ปี พ.ศ. 2555 - 2564,,,,,,,,,,,,
,,,,,,,,,,,,
,,เงินทุน (ล้านบาท),"1,881",804,"3,310","1,713",81,150,140,493,277,178
,,คนงานรวม (คน),277,412,605,296,28,85,61,66,94,54
,,คนงานชาย,215,306,332,233,22,76,43,47,73,51
,,คนงานหญิง,62,106,273,63,6,9,18,19,21,3
,สระบุรี,จำนวนโรงงาน (โรงงาน),66,84,62,68,58,79,51,56,56,63
,,เงินทุน (ล้านบาท),"8,636","25,116","11,874","13,404","5,384","8,411","7,046","82,614","3,358","5,522"
,,คนงานรวม (คน),"3,741","6,146","1,758","2,231",873,"2,500","1,101",954,"1,286","1,961"
,,คนงานชาย,"2,646","2,963","1,212","1,517",634,"1,434",603,679,961,"1,142"
,,คนงานหญิง,"1,095","3,183",546,714,239,"1,066",498,275,325,819
,ชลบุรี,จำนวนโรงงาน (โรงงาน),148,268,247,254,234,243,250,208,251,223
,,เงินทุน (ล้านบาท),"6,743","16,668","22,868","31,151","18,143","17,599","9,986","25,510","19,066","13,344"
,,คนงานรวม (คน),"4,509","6,911","9,108","10,949","11,518","8,746","6,320","5,585","10,109","8,669"
,,คนงานชาย,"2,814","4,639","5,700","5,819","6,521","5,269","3,702","3,813","6,202","5,520"
,,คนงานหญิง,"1,695","2,272","3,408","5,130","4,997","3,477","2,618","1,772","3,907","3,149"
,ระยอง,จำนวนโรงงาน (โรงงาน),71,103,69,235,142,121,139,120,90,92
,,เงินทุน (ล้านบาท),"21,859","28,216","32,111","47,488","18,651","78,061","26,417","28,015","9,987","57,476"
,,คนงานรวม (คน),"2,918","4,038","2,877","6,880","4,037","2,744","4,668","7,628","3,674","8,461"
,,คนงานชาย,"2,041","2,926","2,166","4,556","2,787","1,901","3,162","3,661","2,492","4,829"
,,คนงานหญิง,877,"1,112",711,"2,324","1,250",843,"1,506","3,967","1,182","3,632"
,จันทบุรี,จำนวนโรงงาน (โรงงาน),35,28,15,9,17,19,21,22,14,16
,,เงินทุน (ล้านบาท),368,375,129,517,464,347,"2,620",862,194,217
,,คนงานรวม (คน),243,292,135,417,226,340,619,512,300,289
,,คนงานชาย,176,206,82,243,135,158,331,275,169,164
,,คนงานหญิง,67,86,53,174,91,182,288,237,131,125
,ตราด,จำนวนโรงงาน (โรงงาน),20,21,13,32,52,33,22,14,10,8
,,เงินทุน (ล้านบาท),206,308,426,295,833,493,126,120,132,90
,,คนงานรวม (คน),144,239,110,258,483,524,200,148,102,59
,,คนงานชาย,109,163,87,225,310,438,121,91,78,49
,,คนงานหญิง,35,76,23,33,173,86,79,57,24,10
,ฉะเชิงเทรา,จำนวนโรงงาน (โรงงาน),68,96,102,70,80,100,94,81,112,83
,,เงินทุน (ล้านบาท),"8,207","12,636","26,868","9,220","10,763","7,842","6,194","4,135","16,795","8,681"
,,คนงานรวม (คน),"2,113","5,367","5,313","1,874","1,833","2,823","3,088","3,245","5,061","2,794"
,,คนงานชาย,"1,323","3,386","3,194","1,239","1,245","1,883","2,167","2,277","3,092","1,961"
,,คนงานหญิง,790,"1,981","2,119",635,588,940,921,968,"1,969",833
,ปราจีนบุรี,จำนวนโรงงาน (โรงงาน),44,68,52,48,54,54,72,55,35,50
,,เงินทุน (ล้านบาท),"9,261","35,778","13,669","12,267","20,444","2,810","10,312","19,264","1,832","10,150"
,,คนงานรวม (คน),"5,294","7,440","1,989","1,453","2,638","1,145","3,809","3,450","7,248","4,390"
,,คนงานชาย,"1,872","5,231","1,241",912,"1,504",726,"1,972","2,229","6,646","2,807"
,,คนงานหญิง,"3,422","2,209",748,541,"1,134",419,"1,837","1,221",602,"1,583"
,นครนายก,จำนวนโรงงาน (โรงงาน),10,20,32,4,7,4,12,1,2,1
,,เงินทุน (ล้านบาท),126,"1,596",335,31,386,55,72,21,794,1
,,คนงานรวม (คน),258,623,264,76,57,17,109,6,511,25
,,คนงานชาย,173,376,209,52,41,15,98,3,160,7
,,คนงานหญิง,85,247,55,24,16,2,11,3,351,18
,สระแก้ว,จำนวนโรงงาน (โรงงาน),28,42,58,25,78,39,17,21,5,17
,,เงินทุน (ล้านบาท),482,"2,014",293,257,"20,126","7,438","2,108","1,763",602,"1,559"
,,คนงานรวม (คน),710,774,336,263,860,"1,101",232,752,179,241
,,คนงานชาย,317,510,288,185,612,728,118,429,107,153
,,คนงานหญิง,393,264,48,78,248,373,114,323,72,88
,ราชบุรี,จำนวนโรงงาน (โรงงาน),77,63,37,24,95,82,86,73,34,29
,,เงินทุน (ล้านบาท),"1,529","2,475","4,518","1,874","10,746","10,792","2,796","3,147","1,766","33,261"
,,คนงานรวม (คน),"1,934","1,019","1,322",622,"1,422","1,987","2,365","1,661",948,803
,,คนงานชาย,"1,218",708,"1,024",376,"1,056","1,340","1,356","1,020",468,564
,,คนงานหญิง,716,311,298,246,366,647,"1,009",641,480,239
,กาญจนบุรี,จำนวนโรงงาน (โรงงาน),45,70,83,63,52,78,63,45,29,31
,,เงินทุน (ล้านบาท),"2,411","4,184","5,446","8,177","3,933","4,736","1,887","1,808","1,459","1,333"
,,คนงานรวม (คน),765,993,"1,395","1,092",783,"5,990","1,681","1,164",752,405
,,คนงานชาย,495,718,893,740,567,"2,247",920,526,436,325
,,คนงานหญิง,270,275,502,352,216,"3,743",761,638,316,80
,สุพรรณบุรี,จำนวนโรงงาน (โรงงาน),30,58,43,28,50,45,39,40,28,24
,,เงินทุน (ล้านบาท),539,"7,396","2,182","1,602","3,882","2,440",672,"5,420","1,808","1,980"
,,คนงานรวม (คน),360,728,"1,006",404,953,501,526,905,503,531
,,คนงานชาย,250,480,585,233,555,340,305,544,263,318
,,คนงานหญิง,110,248,421,171,398,161,221,361,240,213
,นครปฐม,จำนวนโรงงาน (โรงงาน),142,240,191,114,107,138,175,181,116,122
,,เงินทุน (ล้านบาท),"3,773","18,160","10,764","18,321","4,904","9,876","6,663","6,655","6,873","9,815"
,,คนงานรวม (คน),"3,147","6,764","4,696","3,966","2,866","3,608","5,050","5,088","3,526","6,136"
,,คนงานชาย,"1,849","3,818","2,847","2,194","1,707","2,287","2,709","3,238","2,087","3,379"
,,คนงานหญิง,"1,298","2,946","1,849","1,772","1,159","1,321","2,341","1,850","1,439","2,757"
,สมุทรสาคร,จำนวนโรงงาน (โรงงาน),169,191,205,312,408,451,450,361,288,233
,,เงินทุน (ล้านบาท),"7,727","8,215","9,753","32,047","17,827","12,831","22,838","15,039","14,880","8,141"
,,คนงานรวม (คน),"5,536","6,863","8,816","12,357","15,769","14,402","14,111","11,489","8,583","6,920"
,,คนงานชาย,"3,246","4,020","4,864","6,727","8,550","8,146","8,232","6,918","4,969","4,083"
,,คนงานหญิง,"2,290","2,843","3,952","5,630","7,219","6,256","5,879","4,571","3,614","2,837"
,สมุทรสงคราม,จำนวนโรงงาน (โรงงาน),4,8,10,13,29,17,18,8,2,7
,,เงินทุน (ล้านบาท),62,487,714,395,"1,625",282,251,281,77,351
,,คนงานรวม (คน),44,193,542,327,821,597,288,222,108,446
,,คนงานชาย,34,172,305,186,398,211,170,138,50,259
,,คนงานหญิง,10,21,237,141,423,386,118,84,58,187
,เพชรบุรี,จำนวนโรงงาน (โรงงาน),9,21,50,95,25,11,29,28,25,18
,,เงินทุน (ล้านบาท),245,769,"3,434","16,502","4,085",733,538,"2,303","1,223","1,820"
,,คนงานรวม (คน),116,634,"4,379","1,631",422,313,564,703,515,768
,,คนงานชาย,83,382,"2,339","1,334",268,185,413,475,394,526
,,คนงานหญิง,33,252,"2,040",297,154,128,151,228,121,242
,ประจวบคีรีขันธ์,จำนวนโรงงาน (โรงงาน),19,29,33,34,67,26,18,15,8,7
,,เงินทุน (ล้านบาท),748,"1,142",950,"4,814","9,265",150,497,714,80,204
,,คนงานรวม (คน),475,381,406,558,"1,141",414,435,222,101,119
,,คนงานชาย,272,302,242,392,958,286,275,145,76,84
,,คนงานหญิง,203,79,164,166,183,128,160,77,25,35
ภาคเหนือ,ภาคเหนือ,จำนวนโรงงาน (โรงงาน),945,846,794,659,537,529,573,420,302,287
,,เงินทุน (ล้านบาท),"17,897","32,047","27,360","37,337","41,631","13,732","16,139","17,628","17,539","10,271"
,,คนงานรวม (คน),"11,742","13,072","9,229","13,617","9,914","7,898","8,864","7,307","4,518","4,245"
,,คนงานชาย,"7,105","7,908","6,237","8,286","6,230","4,647","5,576","4,144","2,772","2,667"
,,คนงานหญิง,"4,637","5,164","2,992","5,331","3,684","3,251","3,288","3,163","1,746","1,578"
,เชียงใหม่,จำนวนโรงงาน (โรงงาน),65,79,82,63,68,64,74,40,39,40
,,เงินทุน (ล้านบาท),"1,301","3,061","2,875","1,485","1,811","1,458","5,441","1,678",771,"1,441"
,,คนงานรวม (คน),"1,383","1,528","1,444",554,"1,124","1,006","1,037",588,850,540
,,คนงานชาย,684,827,906,435,726,559,747,408,517,371
,,คนงานหญิง,699,701,538,119,398,447,290,180,333,169
,ลำพูน,จำนวนโรงงาน (โรงงาน),31,27,26,30,33,29,47,15,16,20
,,เงินทุน (ล้านบาท),751,"1,545","1,336","3,803","4,644",636,"2,004",492,399,611
,,คนงานรวม (คน),661,566,703,"4,948","1,610",640,"1,493",267,177,505
,,คนงานชาย,421,314,479,"2,722",989,394,852,202,122,288
,,คนงานหญิง,240,252,224,"2,226",621,246,641,65,55,217
,ลำปาง,จำนวนโรงงาน (โรงงาน),64,93,84,42,25,48,47,17,11,19
,,เงินทุน (ล้านบาท),643,"5,086","9,628","2,030",387,"1,005",647,115,733,303
