, จำพวกที่ 2 ,,,,,, จำพวกที่ 3 ,,,,,, รวมทั้งหมด ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จังหวัด, จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร , จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร , จำนวน , เงินทุน , จำนวนคนงาน(คน) ,,, เครื่องจักร ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) , (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) , (โรง) , (ล้านบาท) , ชาย , หญิง , รวม , (แรงม้า) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ชัยนาท, -   , -   , -   , -   , -   , -   , 14 ," 3,773.41 ", 133 , 57 , 190 ," 19,654.90 ", 14 ," 3,773.41 ", 133 , 57 , 190 ," 19,654.90 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ชัยภูมิ, -   , -   , -   , -   , -   , -   , 12 , 181.22 , 43 , 2 , 45 ," 18,154.87 ", 12 , 181.22 , 43 , 2 , 45 ," 18,154.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ชุมพร, 4 , 40.48 , 46 , 1 , 47 , 290.10 , 32 , 443.01 , 230 , 29 , 259 ," 21,364.39 ", 36 , 483.49 , 276 , 30 , 306 ," 21,654.49 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงราย, 1 , 18.50 , 6 , 14 , 20 , 58.31 , 22 , 655.35 , 134 , 68 , 202 ," 7,217.73 ", 23 , 673.85 , 140 , 82 , 222 ," 7,276.04 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
เชียงใหม่, 4 , 51.40 , 45 , 31 , 76 , 266.25 , 25 ," 1,419.65 ", 188 , 284 , 472 ," 12,740.88 ", 29 ," 1,471.05 ", 233 , 315 , 548 ," 13,007.13 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ตรัง, 1 , 7.20 , 8 , 4 , 12 , 62.00 , 19 , 197.75 , 74 , 13 , 87 ," 12,980.24 ", 20 , 204.95 , 82 , 17 , 99 ," 13,042.24 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ตราด, -   , -   , -   , -   , -   , -   , 17 , 111.60 , 56 , -   , 56 ," 3,546.87 ", 17 , 111.60 , 56 , -   , 56 ," 3,546.87 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ตาก, -   , -   ,0,0,0, -   , 6 , 47.02 ,71,44,115," 2,084.89 ", 6 , 47.02 ,71,44,115," 2,084.89 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นครนายก, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นครปฐม, 1 , 24.00 , 18 , 21 , 39 , 74.25 , 68 ," 3,180.95 "," 1,056 ", 629 ," 1,685 "," 36,419.78 ", 69 ," 3,204.95 "," 1,074 ", 650 ," 1,724 "," 36,494.03 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นครพนม, -   , -   , -   , -   , -   , -   , 7 , 73.67 , 45 , 92 , 137 ," 1,675.30 ", 7 , 73.67 , 45 , 92 , 137 ," 1,675.30 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นครราชสีมา, 1 , 23.00 , 7 , -   , 7 , 67.50 , 55 ," 12,062.59 "," 1,557 "," 1,662 "," 3,219 "," 199,676.32 ", 56 ," 12,085.59 "," 1,564 "," 1,662 "," 3,226 "," 199,743.82 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นครศรีธรรมราช, 1 , 3.04 , 8 , 1 , 9 , 73.50 , 22 , 491.67 , 250 , 73 , 323 ," 15,852.39 ", 23 , 494.71 , 258 , 74 , 332 ," 15,925.89 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นครสวรรค์, 6 , 66.58 , 76 , 73 , 149 , 373.04 , 22 ," 21,672.84 ", 271 , 151 , 422 ," 184,620.13 ", 28 ," 21,739.41 ", 347 , 224 , 571 ," 184,993.17 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นนทบุรี, 2 , 92.13 , 23 , 15 , 38 , 148.50 , 35 ," 2,664.79 ", 801 , 518 ," 1,319 "," 14,003.48 ", 37 ," 2,756.92 ", 824 , 533 ," 1,357 "," 14,151.98 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
นราธิวาส, -   , -   , -   , -   , -   , -   , 11 , 281.86 , 86 , 79 , 165 ," 11,248.05 ", 11 , 281.86 , 86 , 79 , 165 ," 11,248.05 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
น่าน, -   , -   , -   , -   , -   , -   , 29 , 321.58 , 154 , 29 , 183 ," 7,734.39 ", 29 , 321.58 , 154 , 29 , 183 ," 7,734.39 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
