Station,Year,Month,PM2.5
13T,2021,Feb,41.0
13T,2021,Mar,25.0
13T,2021,Apr,18.0
13T,2021,May,11.0
13T,2021,Jun,10.0
13T,2021,Jul,7.0
13T,2021,Aug,8.0
13T,2021,Sep,10.0
13T,2021,Oct,14.0
13T,2021,Nov,19.0
13T,2021,Dec,33.0
92T,2021,Jan,
92T,2021,Feb,
92T,2021,Mar,
92T,2021,Apr,
92T,2021,May,
92T,2021,Jun,12.0
92T,2021,Jul,9.0
92T,2021,Aug,13.0
92T,2021,Sep,9.0
92T,2021,Oct,11.0
92T,2021,Nov,19.0
92T,2021,Dec,30.0
76T,2021,Jan,52.0
76T,2021,Feb,64.0
76T,2021,Mar,69.0
76T,2021,Apr,22.0
76T,2021,May,13.0
76T,2021,Jun,8.0
76T,2021,Jul,6.0
76T,2021,Aug,7.0
76T,2021,Sep,7.0
76T,2021,Oct,9.0
76T,2021,Nov,16.0
76T,2021,Dec,33.0
68T,2021,Jan,34.0
68T,2021,Feb,46.0
68T,2021,Mar,62.0
68T,2021,Apr,27.0
68T,2021,May,13.0
68T,2021,Jun,9.0
68T,2021,Jul,7.0
68T,2021,Aug,9.0
68T,2021,Sep,7.0
68T,2021,Oct,11.0
68T,2021,Nov,18.0
68T,2021,Dec,32.0
40T,2021,Jan,47.0
40T,2021,Feb,55.0
40T,2021,Mar,56.0
40T,2021,Apr,31.0
40T,2021,May,18.0
40T,2021,Jun,13.0
40T,2021,Jul,10.0
40T,2021,Aug,11.0
40T,2021,Sep,10.0
40T,2021,Oct,12.0
40T,2021,Nov,16.0
40T,2021,Dec,28.0
39T,2021,Jan,42.0
39T,2021,Feb,64.0
39T,2021,Mar,65.0
39T,2021,Apr,25.0
39T,2021,May,9.0
39T,2021,Jun,8.0
39T,2021,Jul,5.0
39T,2021,Aug,6.0
39T,2021,Sep,5.0
39T,2021,Oct,6.0
39T,2021,Nov,9.0
39T,2021,Dec,19.0
38T,2021,Jan,45.0
38T,2021,Feb,55.0
38T,2021,Mar,45.0
38T,2021,Apr,24.0
38T,2021,May,15.0
38T,2021,Jun,9.0
38T,2021,Jul,6.0
38T,2021,Aug,7.0
38T,2021,Sep,5.0
38T,2021,Oct,7.0
38T,2021,Nov,11.0
38T,2021,Dec,22.0
37T,2021,Jan,55.0
37T,2021,Feb,61.0
37T,2021,Mar,70.0
37T,2021,Apr,30.0
37T,2021,May,15.0
37T,2021,Jun,12.0
37T,2021,Jul,11.0
37T,2021,Aug,12.0
37T,2021,Sep,10.0
37T,2021,Oct,13.0
37T,2021,Nov,21.0
37T,2021,Dec,32.0
58T,2021,Jan,34.0
58T,2021,Feb,44.0
58T,2021,Mar,146.0
58T,2021,Apr,50.0
58T,2021,May,13.0
58T,2021,Jun,7.0
58T,2021,Jul,5.0
58T,2021,Aug,5.0
58T,2021,Sep,5.0
58T,2021,Oct,9.0
58T,2021,Nov,13.0
58T,2021,Dec,20.0
69T,2021,Jan,44.0
69T,2021,Feb,48.0
69T,2021,Mar,59.0
69T,2021,Apr,28.0
69T,2021,May,19.0
69T,2021,Jun,12.0
69T,2021,Jul,9.0
69T,2021,Aug,11.0
69T,2021,Sep,8.0
69T,2021,Oct,11.0
69T,2021,Nov,19.0
69T,2021,Dec,32.0
86T,2021,Jan,56.0
86T,2021,Feb,56.0
86T,2021,Mar,48.0
86T,2021,Apr,25.0
86T,2021,May,13.0
86T,2021,Jun,10.0
86T,2021,Jul,9.0
86T,2021,Aug,15.0
86T,2021,Sep,6.0
86T,2021,Oct,10.0
86T,2021,Nov,20.0
86T,2021,Dec,37.0
70T,2021,Jan,52.0
70T,2021,Feb,44.0
70T,2021,Mar,67.0
70T,2021,Apr,31.0
70T,2021,May,15.0
70T,2021,Jun,11.0
70T,2021,Jul,8.0
70T,2021,Aug,9.0
70T,2021,Sep,8.0
70T,2021,Oct,11.0
70T,2021,Nov,16.0
70T,2021,Dec,31.0
75T,2021,Jan,27.0
75T,2021,Feb,32.0
75T,2021,Mar,53.0
75T,2021,Apr,28.0
75T,2021,May,13.0
75T,2021,Jun,9.0
75T,2021,Jul,6.0
75T,2021,Aug,9.0
75T,2021,Sep,7.0
75T,2021,Oct,9.0
75T,2021,Nov,11.0
75T,2021,Dec,21.0
67T,2021,Jan,39.0
67T,2021,Feb,44.0
67T,2021,Mar,57.0
67T,2021,Apr,32.0
67T,2021,May,23.0
67T,2021,Jun,13.0
67T,2021,Jul,13.0
67T,2021,Aug,19.0
67T,2021,Sep,13.0
67T,2021,Oct,12.0
67T,2021,Nov,17.0
67T,2021,Dec,30.0
41T,2021,Jan,39.0
41T,2021,Feb,40.0
41T,2021,Mar,36.0
41T,2021,Apr,25.0
41T,2021,May,19.0
41T,2021,Jun,14.0
41T,2021,Jul,12.0
41T,2021,Aug,16.0
41T,2021,Sep,13.0
41T,2021,Oct,13.0
41T,2021,Nov,22.0
41T,2021,Dec,34.0
36T,2021,Jan,42.0
36T,2021,Feb,39.0
36T,2021,Mar,78.0
36T,2021,Apr,34.0
36T,2021,May,16.0
36T,2021,Jun,11.0
36T,2021,Jul,8.0
36T,2021,Aug,9.0
36T,2021,Sep,8.0
36T,2021,Oct,9.0
36T,2021,Nov,14.0
36T,2021,Dec,24.0
35T,2021,Jan,44.0
35T,2021,Feb,47.0
35T,2021,Mar,78.0
35T,2021,Apr,38.0
35T,2021,May,21.0
35T,2021,Jun,16.0
35T,2021,Jul,14.0
35T,2021,Aug,15.0
35T,2021,Sep,13.0
35T,2021,Oct,15.0
35T,2021,Nov,20.0
35T,2021,Dec,28.0
73T,2021,Jan,60.0
73T,2021,Feb,49.0
73T,2021,Apr,81.0
73T,2021,May,24.0
73T,2021,Jul,10.0
73T,2021,Aug,11.0
73T,2021,Sep,11.0
73T,2021,Oct,13.0
73T,2021,Nov,15.0
73T,2021,Dec,29.0
84T,2021,Jan,34.0
84T,2021,Feb,30.0
84T,2021,Mar,15.0
84T,2021,Apr,9.0
84T,2021,May,7.0
84T,2021,Jun,8.0
84T,2021,Jul,6.0
84T,2021,Aug,7.0
84T,2021,Sep,6.0
84T,2021,Oct,10.0
84T,2021,Nov,19.0
84T,2021,Dec,37.0
57T,2021,Jan,37.0
57T,2021,Feb,33.0
57T,2021,Mar,71.0
57T,2021,Apr,44.0
57T,2021,May,18.0
57T,2021,Jun,11.0
57T,2021,Jul,7.0
57T,2021,Aug,8.0
57T,2021,Sep,7.0
57T,2021,Oct,10.0
57T,2021,Nov,13.0
57T,2021,Dec,27.0
21T,2021,Jan,40.0
21T,2021,Feb,45.0
21T,2021,Mar,32.0
21T,2021,Apr,21.0
21T,2021,May,13.0
21T,2021,Jun,11.0
21T,2021,Jul,9.0
21T,2021,Aug,11.0
21T,2021,Sep,10.0
21T,2021,Oct,12.0
21T,2021,Nov,19.0
21T,2021,Dec,28.0
85T,2021,Jan,43.0
85T,2021,Feb,45.0
85T,2021,Mar,34.0
85T,2021,Apr,22.0
85T,2021,May,11.0
85T,2021,Jun,8.0
85T,2021,Jul,7.0
85T,2021,Aug,12.0
85T,2021,Sep,7.0
85T,2021,Oct,11.0
85T,2021,Nov,22.0
85T,2021,Dec,34.0
25T,2021,Jan,61.0
25T,2021,Feb,41.0
25T,2021,Mar,30.0
25T,2021,Apr,20.0
25T,2021,May,15.0
25T,2021,Jun,12.0
25T,2021,Jul,10.0
25T,2021,Aug,12.0
25T,2021,Sep,11.0
25T,2021,Oct,12.0
25T,2021,Nov,18.0
25T,2021,Dec,28.0
24T,2021,Jan,48.0
24T,2021,Feb,49.0
24T,2021,Mar,39.0
24T,2021,Apr,28.0
24T,2021,May,22.0
24T,2021,Jun,16.0
24T,2021,Jul,14.0
24T,2021,Aug,18.0
24T,2021,Sep,19.0
24T,2021,Oct,22.0
24T,2021,Nov,34.0
24T,2021,Dec,40.0
26T,2021,Jan,36.0
26T,2021,Feb,51.0
26T,2021,Mar,31.0
26T,2021,Apr,18.0
26T,2021,May,13.0
26T,2021,Jun,11.0
26T,2021,Jul,9.0
26T,2021,Aug,10.0
26T,2021,Sep,10.0
26T,2021,Oct,15.0
26T,2021,Nov,25.0
26T,2021,Dec,40.0
79T,2021,Jan,42.0
79T,2021,Feb,46.0
79T,2021,Mar,26.0
79T,2021,Apr,11.0
79T,2021,May,9.0
79T,2021,Jun,10.0
79T,2021,Jul,5.0
79T,2021,Aug,7.0
79T,2021,Sep,6.0
79T,2021,Oct,9.0
79T,2021,Nov,13.0
79T,2021,Dec,26.0
71T,2021,Jan,33.0
71T,2021,Feb,41.0
71T,2021,Mar,28.0
71T,2021,Apr,11.0
71T,2021,May,7.0
71T,2021,Jun,9.0
71T,2021,Jul,8.0
71T,2021,Aug,8.0
71T,2021,Sep,7.0
71T,2021,Oct,9.0
71T,2021,Nov,14.0
71T,2021,Dec,24.0
77T,2021,Jan,44.0
77T,2021,Feb,50.0
77T,2021,Mar,36.0
77T,2021,Apr,23.0
77T,2021,May,19.0
77T,2021,Jun,18.0
77T,2021,Jul,15.0
77T,2021,Aug,16.0
77T,2021,Sep,15.0
77T,2021,Oct,17.0
77T,2021,Nov,21.0
77T,2021,Dec,32.0
74T,2021,Jan,36.0
74T,2021,Feb,39.0
74T,2021,Mar,19.0
74T,2021,Apr,15.0
74T,2021,May,11.0
74T,2021,Jun,9.0
74T,2021,Jul,8.0
74T,2021,Aug,9.0
74T,2021,Sep,9.0
74T,2021,Oct,13.0
74T,2021,Nov,17.0
74T,2021,Dec,27.0
31T,2021,Jan,34.0
31T,2021,Feb,40.0
31T,2021,Mar,19.0
31T,2021,Apr,15.0
31T,2021,May,10.0
31T,2021,Jun,8.0
31T,2021,Jul,7.0
31T,2021,Aug,7.0
31T,2021,Sep,10.0
31T,2021,Oct,16.0
31T,2021,Nov,19.0
31T,2021,Dec,27.0
30T,2021,Jan,34.0
30T,2021,Feb,37.0
30T,2021,Mar,18.0
30T,2021,Apr,14.0
30T,2021,May,11.0
30T,2021,Jun,12.0
30T,2021,Jul,9.0
30T,2021,Aug,7.0
30T,2021,Sep,8.0
30T,2021,Oct,11.0
30T,2021,Nov,15.0
30T,2021,Dec,23.0
29T,2021,Jan,33.0
29T,2021,Feb,36.0
29T,2021,Mar,18.0
29T,2021,Apr,15.0
29T,2021,May,15.0
29T,2021,Jun,13.0
29T,2021,Jul,12.0
29T,2021,Aug,12.0
29T,2021,Sep,13.0
29T,2021,Oct,18.0
29T,2021,Nov,21.0
29T,2021,Dec,29.0
28T,2021,Jan,40.0
28T,2021,Feb,48.0
28T,2021,Mar,29.0
28T,2021,Apr,20.0
28T,2021,May,13.0
28T,2021,Jun,11.0
28T,2021,Jul,9.0
28T,2021,Aug,10.0
28T,2021,Sep,10.0
28T,2021,Oct,13.0
28T,2021,Nov,16.0
28T,2021,Dec,24.0
87T,2021,Jan,27.0
87T,2021,Feb,40.0
87T,2021,Mar,20.0
87T,2021,Apr,12.0
87T,2021,May,9.0
87T,2021,Jun,8.0
87T,2021,Jul,7.0
87T,2021,Aug,9.0
87T,2021,Sep,9.0
87T,2021,Oct,10.0
87T,2021,Nov,13.0
87T,2021,Dec,18.0
33T,2021,Jan,37.0
33T,2021,Feb,36.0
33T,2021,Mar,15.0
33T,2021,Apr,16.0
33T,2021,May,13.0
33T,2021,Jun,10.0
33T,2021,Jul,8.0
33T,2021,Aug,9.0
33T,2021,Sep,9.0
33T,2021,Oct,12.0
33T,2021,Nov,15.0
33T,2021,Dec,23.0
34T,2021,Jan,37.0
34T,2021,Feb,40.0
34T,2021,Mar,22.0
34T,2021,Apr,16.0
34T,2021,May,11.0
34T,2021,Jun,9.0
34T,2021,Jul,7.0
34T,2021,Aug,8.0
34T,2021,Sep,9.0
34T,2021,Oct,13.0
34T,2021,Nov,18.0
34T,2021,Dec,30.0
32T,2021,Jan,35.0
32T,2021,Feb,38.0
32T,2021,Mar,22.0
32T,2021,Apr,17.0
32T,2021,May,14.0
32T,2021,Jun,12.0
32T,2021,Jul,11.0
32T,2021,Aug,12.0
32T,2021,Sep,11.0
32T,2021,Oct,13.0
32T,2021,Nov,18.0
32T,2021,Dec,28.0
60T,2021,Jan,44.0
60T,2021,Feb,49.0
60T,2021,Mar,32.0
60T,2021,Apr,20.0
60T,2021,May,17.0
60T,2021,Jun,14.0
60T,2021,Jul,12.0
60T,2021,Aug,13.0
60T,2021,Sep,12.0
60T,2021,Oct,16.0
60T,2021,Nov,19.0
60T,2021,Dec,28.0
90T,2021,Jan,
90T,2021,Feb,
90T,2021,Mar,
90T,2021,Apr,
90T,2021,May,
90T,2021,Jun,10.0
90T,2021,Jul,8.0
90T,2021,Aug,11.0
90T,2021,Sep,6.0
90T,2021,Oct,11.0
90T,2021,Nov,19.0
90T,2021,Dec,28.0
91T,2021,Jan,
91T,2021,Feb,
91T,2021,Mar,
91T,2021,Apr,
91T,2021,May,
91T,2021,Jun,9.0
91T,2021,Jul,7.0
91T,2021,Aug,10.0
91T,2021,Sep,6.0
91T,2021,Oct,11.0
91T,2021,Nov,16.0
91T,2021,Dec,30.0
83T,2021,Jan,31.0
83T,2021,Feb,55.0
83T,2021,Mar,87.0
83T,2021,Apr,33.0
83T,2021,May,20.0
83T,2021,Jun,12.0
83T,2021,Jul,12.0
83T,2021,Aug,12.0
83T,2021,Sep,10.0
83T,2021,Oct,11.0
83T,2021,Nov,15.0
83T,2021,Dec,19.0
82T,2021,Jan,60.0
82T,2021,Feb,52.0
82T,2021,Mar,51.0
82T,2021,Apr,10.0
82T,2021,May,5.0
82T,2021,Jun,7.0
82T,2021,Jul,7.0
82T,2021,Aug,8.0
82T,2021,Sep,8.0
82T,2021,Oct,7.0
82T,2021,Nov,6.0
82T,2021,Dec,15.0
72T,2021,Jan,
72T,2021,Feb,
72T,2021,Mar,
72T,2021,Apr,
72T,2021,May,
72T,2021,Jun,9.0
72T,2021,Jul,6.0
72T,2021,Aug,9.0
72T,2021,Sep,5.0
72T,2021,Oct,9.0
72T,2021,Nov,14.0
72T,2021,Dec,31.0
88T,2021,Jan,30.0
88T,2021,Feb,31.0
88T,2021,Mar,49.0
88T,2021,Apr,31.0
88T,2021,May,20.0
88T,2021,Jun,12.0
88T,2021,Jul,10.0
88T,2021,Aug,12.0
88T,2021,Sep,8.0
88T,2021,Oct,12.0
88T,2021,Nov,20.0
88T,2021,Dec,28.0
46T,2021,Jan,49.0
46T,2021,Feb,46.0
46T,2021,Mar,51.0
46T,2021,Apr,31.0
46T,2021,May,25.0
46T,2021,Jun,19.0
46T,2021,Jul,16.0
46T,2021,Aug,18.0
46T,2021,Sep,16.0
46T,2021,Oct,20.0
46T,2021,Nov,26.0
46T,2021,Dec,37.0
47T,2021,Jan,44.0
47T,2021,Feb,44.0
47T,2021,Mar,46.0
47T,2021,Apr,24.0
47T,2021,May,17.0
47T,2021,Jun,15.0
47T,2021,Jul,13.0
47T,2021,Aug,15.0
47T,2021,Sep,13.0
47T,2021,Oct,16.0
47T,2021,Nov,21.0
47T,2021,Dec,31.0
93T,2021,Jan,
93T,2021,Feb,
93T,2021,Mar,
93T,2021,Apr,
93T,2021,May,
93T,2021,Jun,11.0
93T,2021,Jul,11.0
93T,2021,Aug,9.0
93T,2021,Sep,9.0
93T,2021,Oct,9.0
93T,2021,Nov,7.0
93T,2021,Dec,12.0
80T,2021,Jan,14.0
80T,2021,Feb,17.0
80T,2021,Mar,13.0
80T,2021,Apr,11.0
80T,2021,May,9.0
80T,2021,Jun,11.0
80T,2021,Jul,17.0
80T,2021,Aug,13.0
80T,2021,Sep,13.0
80T,2021,Oct,14.0
80T,2021,Nov,7.0
80T,2021,Dec,9.0
78T,2021,Jan,8.0
78T,2021,Feb,12.0
78T,2021,Mar,11.0
78T,2021,Apr,11.0
78T,2021,May,10.0
78T,2021,Jun,11.0
78T,2021,Jul,13.0
78T,2021,Aug,10.0
78T,2021,Sep,11.0
78T,2021,Oct,10.0
78T,2021,Nov,9.0
78T,2021,Dec,10.0
42T,2021,Jan,22.0
42T,2021,Feb,24.0
42T,2021,Mar,26.0
42T,2021,Apr,20.0
42T,2021,May,20.0
42T,2021,Jun,20.0
42T,2021,Jul,14.0
42T,2021,Aug,13.0
42T,2021,Sep,14.0
42T,2021,Oct,15.0
42T,2021,Nov,9.0
42T,2021,Dec,17.0
44T,2021,Jan,17.0
44T,2021,Feb,20.0
44T,2021,Mar,15.0
44T,2021,Apr,18.0
44T,2021,May,16.0
44T,2021,Jun,20.0
44T,2021,Jul,19.0
44T,2021,Aug,15.0
44T,2021,Sep,17.0
44T,2021,Oct,16.0
44T,2021,Nov,12.0
44T,2021,Dec,16.0
63T,2021,Jan,18.0
63T,2021,Feb,19.0
63T,2021,Mar,16.0
63T,2021,Apr,14.0
63T,2021,May,12.0
63T,2021,Jun,13.0
63T,2021,Jul,16.0
63T,2021,Aug,11.0
63T,2021,Sep,12.0
63T,2021,Oct,12.0
63T,2021,Nov,10.0
63T,2021,Dec,16.0
43T,2021,Jan,26.0
43T,2021,Feb,27.0
43T,2021,Mar,23.0
43T,2021,Apr,17.0
43T,2021,May,15.0
43T,2021,Jun,14.0
43T,2021,Jul,14.0
43T,2021,Aug,13.0
43T,2021,Sep,14.0
43T,2021,Oct,15.0
43T,2021,Nov,10.0
43T,2021,Dec,17.0
89T,2021,Jan,21.0
89T,2021,Feb,26.0
89T,2021,Mar,18.0
89T,2021,Apr,12.0
89T,2021,May,12.0
89T,2021,Jun,13.0
89T,2021,Jul,11.0
89T,2021,Aug,11.0
89T,2021,Sep,13.0
89T,2021,Oct,10.0
89T,2021,Nov,8.0
89T,2021,Dec,16.0
62T,2021,Jan,20.0
62T,2021,Feb,23.0
62T,2021,Mar,17.0
62T,2021,Apr,13.0
62T,2021,May,10.0
62T,2021,Jun,12.0
62T,2021,Jul,14.0
62T,2021,Aug,10.0
62T,2021,Sep,11.0
62T,2021,Oct,10.0
62T,2021,Nov,9.0
62T,2021,Dec,16.0
61T,2022,Jan,26.0
61T,2022,Feb,27.0
61T,2022,Mar,21.0
61T,2022,Apr,26.0
61T,2022,May,16.0
61T,2022,Jun,14.0
61T,2022,Jul,14.0
61T,2022,Aug,14.0
61T,2022,Sep,14.0
61T,2022,Oct,19.0
61T,2022,Nov,22.0
61T,2022,Dec,24.0
59T,2022,Jan,23.0
59T,2022,Feb,25.0
59T,2022,Mar,18.0
59T,2022,Apr,25.0
59T,2022,May,12.0
59T,2022,Jun,10.0
59T,2022,Jul,10.0
59T,2022,Aug,8.0
59T,2022,Sep,10.0
59T,2022,Oct,18.0
59T,2022,Nov,18.0
59T,2022,Dec,21.0
54R,2022,Jan,37.0
54R,2022,Feb,39.0
54R,2022,Mar,34.0
54R,2022,Apr,39.0
54R,2022,May,25.0
54R,2022,Jun,23.0
54R,2022,Jul,21.0
54R,2022,Aug,23.0
54R,2022,Sep,26.0
54R,2022,Oct,33.0
54R,2022,Nov,36.0
54R,2022,Dec,34.0
53R,2022,Jan,33.0
53R,2022,Feb,32.0
53R,2022,Mar,23.0
53R,2022,Apr,31.0
53R,2022,May,17.0
53R,2022,Jun,14.0
53R,2022,Jul,11.0
53R,2022,Aug,12.0
53R,2022,Sep,15.0
53R,2022,Oct,24.0
53R,2022,Nov,26.0
53R,2022,Dec,26.0
52R,2022,Jan,30.0
52R,2022,Feb,30.0
52R,2022,Mar,21.0
52R,2022,Apr,30.0
52R,2022,May,18.0
52R,2022,Jun,13.0
52R,2022,Jul,12.0
52R,2022,Aug,13.0
52R,2022,Sep,15.0
52R,2022,Oct,24.0
52R,2022,Nov,25.0
52R,2022,Dec,30.0
50R,2022,Jan,31.0
50R,2022,Feb,32.0
50R,2022,Mar,25.0
50R,2022,Apr,33.0
50R,2022,May,21.0
50R,2022,Jun,18.0
50R,2022,Jul,17.0
50R,2022,Aug,18.0
50R,2022,Sep,20.0
50R,2022,Oct,29.0
50R,2022,Nov,31.0
50R,2022,Dec,34.0
12T,2022,Jan,28.0
12T,2022,Feb,27.0
12T,2022,Mar,21.0
12T,2022,Apr,26.0
12T,2022,May,20.0
12T,2022,Jun,18.0
12T,2022,Jul,16.0
12T,2022,Aug,19.0
12T,2022,Sep,17.0
12T,2022,Oct,26.0
12T,2022,Nov,23.0
12T,2022,Dec,26.0
11T,2022,Jan,27.0
11T,2022,Feb,27.0
11T,2022,Mar,22.0
11T,2022,Apr,29.0
11T,2022,May,16.0
11T,2022,Jun,12.0
11T,2022,Jul,12.0
11T,2022,Aug,13.0
11T,2022,Sep,15.0
11T,2022,Oct,22.0
11T,2022,Nov,24.0
11T,2022,Dec,28.0
10T,2022,Jan,26.0
10T,2022,Feb,26.0
10T,2022,Mar,20.0
10T,2022,Apr,25.0
10T,2022,May,12.0
10T,2022,Jun,15.0
10T,2022,Jul,11.0
10T,2022,Aug,11.0
10T,2022,Sep,13.0
10T,2022,Oct,21.0
10T,2022,Nov,24.0
10T,2022,Dec,26.0
05T,2022,Jan,31.0
05T,2022,Feb,31.0
05T,2022,Mar,23.0
05T,2022,Apr,32.0
05T,2022,May,19.0
05T,2022,Jun,14.0
05T,2022,Jul,14.0
05T,2022,Aug,15.0
05T,2022,Sep,17.0
05T,2022,Oct,26.0
05T,2022,Nov,26.0
05T,2022,Dec,31.0
03R,2022,Jan,37.0
03R,2022,Feb,35.0
03R,2022,Mar,29.0
03R,2022,Apr,37.0
03R,2022,May,23.0
03R,2022,Jun,21.0
03R,2022,Jul,20.0
03R,2022,Aug,21.0
03R,2022,Sep,23.0
03R,2022,Oct,30.0
03R,2022,Nov,32.0
03R,2022,Dec,35.0
02T,2022,Jan,29.0
02T,2022,Feb,31.0
02T,2022,Mar,22.0
02T,2022,Apr,32.0
02T,2022,May,19.0
02T,2022,Jun,15.0
02T,2022,Jul,14.0
02T,2022,Aug,16.0
02T,2022,Sep,17.0
02T,2022,Oct,27.0
02T,2022,Nov,28.0
02T,2022,Dec,31.0
81T,2022,Jan,33.0
81T,2022,Feb,28.0
81T,2022,Mar,20.0
81T,2022,Apr,31.0
81T,2022,May,13.0
81T,2022,Jun,10.0
81T,2022,Jul,10.0
81T,2022,Aug,10.0
81T,2022,Sep,10.0
81T,2022,Oct,23.0
81T,2022,Nov,26.0
81T,2022,Dec,32.0
14T,2022,Jan,33.0
14T,2022,Feb,31.0
14T,2022,Mar,23.0
14T,2022,Apr,33.0
14T,2022,May,20.0
14T,2022,Jun,17.0
14T,2022,Jul,17.0
14T,2022,Aug,18.0
14T,2022,Sep,18.0
14T,2022,Oct,28.0
14T,2022,Nov,31.0
14T,2022,Dec,34.0
27T,2022,Jan,31.0
27T,2022,Feb,28.0
27T,2022,Mar,17.0
27T,2022,Apr,29.0
27T,2022,May,17.0
27T,2022,Jun,12.0
27T,2022,Jul,11.0
27T,2022,Aug,12.0
27T,2022,Sep,14.0
27T,2022,Oct,27.0
27T,2022,Nov,29.0
27T,2022,Dec,34.0
19T,2022,Jan,29.0
19T,2022,Feb,29.0
19T,2022,Mar,22.0
19T,2022,Apr,31.0
19T,2022,May,18.0
19T,2022,Jun,17.0
19T,2022,Jul,17.0
19T,2022,Aug,19.0
19T,2022,Sep,19.0
19T,2022,Oct,26.0
19T,2022,Nov,27.0
19T,2022,Dec,28.0
17T,2022,Jan,25.0
17T,2022,Feb,24.0
17T,2022,Mar,17.0
17T,2022,Apr,24.0
17T,2022,May,13.0
17T,2022,Jun,11.0
17T,2022,Jul,10.0
17T,2022,Aug,11.0
17T,2022,Sep,11.0
17T,2022,Oct,20.0
17T,2022,Nov,21.0
17T,2022,Dec,23.0
18T,2022,Jan,37.0
18T,2022,Feb,37.0
18T,2022,Mar,28.0
18T,2022,Apr,37.0
18T,2022,May,23.0
18T,2022,Jun,19.0
18T,2022,Jul,19.0
18T,2022,Aug,20.0
18T,2022,Sep,22.0
18T,2022,Oct,31.0
18T,2022,Nov,32.0
18T,2022,Dec,35.0
16T,2022,Jan,29.0
16T,2022,Feb,28.0
16T,2022,Mar,19.0
16T,2022,Apr,27.0
16T,2022,May,14.0
16T,2022,Jun,13.0
16T,2022,Jul,11.0
16T,2022,Aug,12.0
16T,2022,Sep,13.0
16T,2022,Oct,23.0
16T,2022,Nov,22.0
16T,2022,Dec,21.0
08T,2022,Jan,32.0
08T,2022,Feb,31.0
08T,2022,Mar,23.0
08T,2022,Apr,32.0
08T,2022,May,19.0
08T,2022,Jun,16.0
08T,2022,Jul,16.0
08T,2022,Aug,18.0
08T,2022,Sep,18.0
08T,2022,Oct,27.0
08T,2022,Nov,
08T,2022,Dec,31.0
22T,2022,Jan,26.0
22T,2022,Feb,27.0
22T,2022,Mar,21.0
22T,2022,Apr,28.0
22T,2022,May,14.0
22T,2022,Jun,10.0
22T,2022,Jul,9.0
22T,2022,Aug,10.0
22T,2022,Sep,11.0
22T,2022,Oct,22.0
22T,2022,Nov,24.0
22T,2022,Dec,27.0
20T,2022,Jan,34.0
20T,2022,Feb,31.0
20T,2022,Mar,27.0
20T,2022,Apr,33.0
20T,2022,May,14.0
20T,2022,Jun,12.0
20T,2022,Jul,10.0
20T,2022,Aug,12.0
20T,2022,Sep,12.0
20T,2022,Oct,20.0
20T,2022,Nov,23.0
20T,2022,Dec,27.0
13T,2022,Jan,27.0
13T,2022,Feb,29.0
13T,2022,Mar,21.0
13T,2022,Apr,28.0
13T,2022,May,13.0
13T,2022,Jun,10.0
13T,2022,Jul,10.0
13T,2022,Aug,11.0
13T,2022,Sep,13.0
13T,2022,Oct,24.0
13T,2022,Nov,24.0
13T,2022,Dec,27.0
94T,2022,Jan,
94T,2022,Feb,
94T,2022,Mar,
94T,2022,Apr,
94T,2022,May,
94T,2022,Jun,
94T,2022,Jul,8.0
94T,2022,Aug,8.0
94T,2022,Sep,7.0
94T,2022,Oct,14.0
94T,2022,Nov,18.0
94T,2022,Dec,26.0
98T,2022,Jan,
98T,2022,Feb,
98T,2022,Mar,
98T,2022,Apr,
98T,2022,May,
98T,2022,Jun,
98T,2022,Jul,13.0
98T,2022,Aug,11.0
98T,2022,Sep,11.0
98T,2022,Oct,20.0
98T,2022,Nov,24.0
98T,2022,Dec,30.0
95T,2022,Jan,
95T,2022,Feb,
95T,2022,Mar,
95T,2022,Apr,
95T,2022,May,
95T,2022,Jun,
95T,2022,Jul,9.0
95T,2022,Aug,9.0
95T,2022,Sep,8.0
95T,2022,Oct,17.0
95T,2022,Nov,23.0
95T,2022,Dec,32.0
97T,2022,Jan,
97T,2022,Feb,
97T,2022,Mar,
97T,2022,Apr,
97T,2022,May,
97T,2022,Jun,
97T,2022,Jul,10.0
97T,2022,Aug,10.0
97T,2022,Sep,10.0
97T,2022,Oct,17.0
97T,2022,Nov,18.0
97T,2022,Dec,25.0
96T,2022,Jan,
96T,2022,Feb,
96T,2022,Mar,
96T,2022,Apr,
96T,2022,May,
96T,2022,Jun,7.0
96T,2022,Jul,9.0
96T,2022,Aug,8.0
96T,2022,Sep,8.0
96T,2022,Oct,16.0
96T,2022,Nov,24.0
96T,2022,Dec,36.0
92T,2022,Jan,37.0
92T,2022,Feb,31.0
92T,2022,Mar,39.0
92T,2022,Apr,44.0
92T,2022,May,17.0
92T,2022,Jun,11.0
92T,2022,Jul,11.0
92T,2022,Aug,11.0
92T,2022,Sep,12.0
92T,2022,Oct,18.0
92T,2022,Nov,21.0
92T,2022,Dec,32.0
76T,2022,Jan,33.0
76T,2022,Feb,32.0
76T,2022,Mar,32.0
76T,2022,Apr,33.0
76T,2022,May,14.0
76T,2022,Jun,10.0
76T,2022,Jul,8.0
76T,2022,Aug,8.0
76T,2022,Sep,8.0
76T,2022,Oct,15.0
76T,2022,Nov,21.0
76T,2022,Dec,29.0
40T,2022,Jan,25.0
40T,2022,Feb,29.0
40T,2022,Mar,34.0
40T,2022,Apr,40.0
40T,2022,May,15.0
40T,2022,Jun,11.0
